ticker,interval,latest_local,expected_latest,removed_weekend_rows,status
VUAA.MI,1d,2026-03-27,2026-03-27,0,ok
VUAA.MI,1wk,2026-03-23,2026-03-21,0,ok
XMEU.DE,1d,2026-03-27,2026-03-27,0,ok
XMEU.DE,1wk,2026-03-23,2026-03-21,0,ok
IQQY.DE,1d,2026-03-27,2026-03-27,0,ok
IQQY.DE,1wk,2026-03-23,2026-03-21,0,ok
XAD5.MI,1d,2026-03-27,2026-03-27,0,ok
XAD5.MI,1wk,2026-03-23,2026-03-21,0,ok
0B2.F,1d,2026-03-27,2026-03-27,0,ok
0B2.F,1wk,2026-03-23,2026-03-21,0,ok
SCR.PA,1d,2026-03-27,2026-03-27,0,ok
SCR.PA,1wk,2026-03-23,2026-03-21,0,ok
AKE.PA,1d,2026-03-27,2026-03-27,0,ok
AKE.PA,1wk,2026-03-23,2026-03-21,0,ok
DWS.DE,1d,2026-03-27,2026-03-27,0,ok
DWS.DE,1wk,2026-03-23,2026-03-21,0,ok
MSFT,1d,2026-03-27,2026-03-27,0,ok
MSFT,1wk,2026-03-23,2026-03-21,0,ok
DTE.DE,1d,2026-03-27,2026-03-27,0,ok
DTE.DE,1wk,2026-03-23,2026-03-21,0,ok
XYZ,1d,2026-03-27,2026-03-27,0,ok
XYZ,1wk,2026-03-23,2026-03-21,0,ok
TEP.PA,1d,2026-03-27,2026-03-27,0,ok
TEP.PA,1wk,2026-03-23,2026-03-21,0,ok
CAP.PA,1d,2026-03-27,2026-03-27,0,ok
CAP.PA,1wk,2026-03-23,2026-03-21,0,ok
DSY.PA,1d,2026-03-27,2026-03-27,0,ok
DSY.PA,1wk,2026-03-23,2026-03-21,0,ok
SAN.PA,1d,2026-03-27,2026-03-27,0,ok
SAN.PA,1wk,2026-03-23,2026-03-21,0,ok
CA.PA,1d,2026-03-27,2026-03-27,0,ok
CA.PA,1wk,2026-03-23,2026-03-21,0,ok
MC.PA,1d,2026-03-27,2026-03-27,0,ok
MC.PA,1wk,2026-03-23,2026-03-21,0,ok
EN.PA,1d,2026-03-27,2026-03-27,0,ok
EN.PA,1wk,2026-03-23,2026-03-21,0,ok
AC.PA,1d,2026-03-27,2026-03-27,0,ok
AC.PA,1wk,2026-03-23,2026-03-21,0,ok
FME.DE,1d,2026-03-27,2026-03-27,0,ok
FME.DE,1wk,2026-03-23,2026-03-21,0,ok
P911.DE,1d,2026-03-27,2026-03-27,0,ok
P911.DE,1wk,2026-03-23,2026-03-21,0,ok
MRK.DE,1d,2026-03-27,2026-03-27,0,ok
MRK.DE,1wk,2026-03-23,2026-03-21,0,ok
EVK.DE,1d,2026-03-27,2026-03-27,0,ok
EVK.DE,1wk,2026-03-23,2026-03-21,0,ok
BC8.DE,1d,2026-03-27,2026-03-27,0,ok
BC8.DE,1wk,2026-03-23,2026-03-21,0,ok
DHL.DE,1d,2026-03-27,2026-03-27,0,ok
DHL.DE,1wk,2026-03-23,2026-03-21,0,ok
AMP.MI,1d,2026-03-27,2026-03-27,0,ok
AMP.MI,1wk,2026-03-23,2026-03-21,0,ok
NEXI.MI,1d,2026-03-27,2026-03-27,0,ok
NEXI.MI,1wk,2026-03-23,2026-03-21,0,ok
PIRC.MI,1d,2026-03-27,2026-03-27,0,ok
PIRC.MI,1wk,2026-03-23,2026-03-21,0,ok
DLG.MI,1d,2026-03-27,2026-03-27,0,ok
DLG.MI,1wk,2026-03-23,2026-03-21,0,ok
IP.MI,1d,2026-03-27,2026-03-27,0,ok
IP.MI,1wk,2026-03-23,2026-03-21,0,ok
BRE.MI,1d,2026-03-27,2026-03-27,0,ok
BRE.MI,1wk,2026-03-23,2026-03-21,0,ok
DIA.MI,1d,2026-03-27,2026-03-27,0,ok
DIA.MI,1wk,2026-03-23,2026-03-21,0,ok
GRF.MC,1d,2026-03-27,2026-03-27,0,ok
GRF.MC,1wk,2026-03-23,2026-03-21,0,ok
AMS.MC,1d,2026-03-27,2026-03-27,0,ok
AMS.MC,1wk,2026-03-23,2026-03-21,0,ok
MAP.MC,1d,2026-03-27,2026-03-27,0,ok
MAP.MC,1wk,2026-03-23,2026-03-21,0,ok
TRE.MC,1d,2026-03-27,2026-03-27,0,ok
TRE.MC,1wk,2026-03-23,2026-03-21,0,ok
FDR.MC,1d,2026-03-27,2026-03-27,0,ok
FDR.MC,1wk,2026-03-23,2026-03-21,0,ok
GEST.MC,1d,2026-03-27,2026-03-27,0,ok
GEST.MC,1wk,2026-03-23,2026-03-21,0,ok
MEL.MC,1d,2026-03-27,2026-03-27,0,ok
MEL.MC,1wk,2026-03-23,2026-03-21,0,ok
REP.MC,1d,2026-03-27,2026-03-27,0,ok
REP.MC,1wk,2026-03-23,2026-03-21,0,ok
WDH.F,1d,2026-03-27,2026-03-27,0,ok
WDH.F,1wk,2026-03-23,2026-03-21,0,ok
GNN.F,1d,2026-03-27,2026-03-27,0,ok
GNN.F,1wk,2026-03-23,2026-03-21,0,ok
