Date,adj_close,close,high,low,open,volume
2010-01-04,608.8226318359375,611.0,611.0,596.5,600.0,1189256
2010-01-05,601.3494262695312,603.5,611.5,600.5,609.5,1198068
2010-01-06,594.4087524414062,596.5,604.5,591.0,604.5,1077972
2010-01-07,597.896484375,600.0,604.0,590.5,596.0,1958131
2010-01-08,596.4015502929688,598.5,604.0,593.0,597.5,1022919
2010-01-11,598.394775390625,600.5,605.5,597.5,601.0,907233
2010-01-12,583.9456787109375,586.0,603.0,583.0,599.5,1247587
2010-01-13,583.4473876953125,585.5,589.0,577.0,582.0,1639338
2010-01-14,578.9631958007812,581.0,588.0,572.0,585.5,2199666
2010-01-15,587.9315185546875,590.0,598.0,578.5,583.0,2850286
2010-01-18,597.3982543945312,599.5,600.0,589.0,593.5,2067660
2010-01-19,646.7247314453125,649.0,653.0,608.5,610.0,8870829
2010-01-20,631.7771606445312,634.0,649.5,629.0,648.5,3468156
2010-01-21,609.3561401367188,611.5,639.0,608.5,638.0,3983474
2010-01-22,612.843994140625,615.0,620.5,600.0,611.0,2050166
2010-01-25,614.8369140625,617.0,629.0,611.0,613.5,1474614
2010-01-26,621.3140869140625,623.5,624.0,606.0,613.0,2010339
2010-01-27,621.8123168945312,624.0,627.0,610.0,618.0,2177986
2010-01-28,608.3598022460938,610.5,634.0,610.5,630.5,2664432
2010-01-29,612.843994140625,615.0,620.5,606.5,612.5,2697511
2010-02-01,622.8087158203125,625.0,628.0,609.5,614.5,1134978
2010-02-02,632.2755737304688,634.5,636.5,616.5,628.0,1169115
2010-02-03,620.3175048828125,622.5,639.0,620.5,633.5,2016197
2010-02-04,722.4581909179688,725.0,725.0,725.0,725.0,1554851
2010-02-05,588.4298706054688,590.5,602.0,582.0,602.0,2116057
2010-02-08,588.4298706054688,590.5,596.0,577.5,591.5,1775046
2010-02-09,601.8823852539062,604.0,608.5,587.5,593.5,1907791
2010-02-10,605.8684692382812,608.0,612.5,600.0,605.5,1178860
2010-02-11,609.8545532226562,612.0,615.0,605.5,611.5,1366658
2010-02-12,599.8895263671875,602.0,617.5,593.0,615.0,2047200
2010-02-15,607.3633422851562,609.5,613.0,603.5,603.5,747521
2010-02-16,616.3316040039062,618.5,629.5,612.0,612.5,1442874
2010-02-17,634.2684326171875,636.5,638.0,622.0,626.0,1756711
2010-02-18,638.2544555664062,640.5,642.5,631.5,635.0,1556134
2010-02-19,642.7385864257812,645.0,651.5,633.0,635.0,2764341
2010-02-22,631.7771606445312,634.0,648.5,631.5,648.5,1377580
2010-02-23,625.3001098632812,627.5,640.0,625.0,640.0,1747695
2010-02-24,625.3001098632812,627.5,633.5,618.5,628.0,1597168
2010-02-25,621.8123168945312,624.0,641.5,622.5,625.0,1202471
2010-02-26,623.30712890625,625.5,630.5,621.5,629.5,1934591
2010-03-01,635.2650756835938,637.5,641.5,623.5,630.0,1203500
2010-03-02,634.766845703125,637.0,643.5,631.0,639.5,1758556
2010-03-03,645.7282104492188,648.0,650.5,631.0,634.5,1837727
2010-03-04,663.6652221679688,666.0,674.5,644.5,647.0,2690875
2010-03-05,671.1388549804688,673.5,673.5,673.5,673.5,2224577
2010-03-08,682.1002197265625,684.5,690.0,680.0,689.0,1158860
2010-03-09,676.6193237304688,679.0,687.5,675.5,683.0,966119
2010-03-10,686.584716796875,689.0,689.5,675.5,680.0,1165721
2010-03-11,682.5984497070312,685.0,691.0,684.5,687.0,888005
2010-03-12,683.594970703125,686.0,687.0,681.5,686.5,1152569
2010-03-15,684.5914306640625,687.0,694.5,681.0,681.0,1472026
2010-03-16,692.065185546875,694.5,696.0,685.0,688.5,913888
2010-03-17,703.5247192382812,706.0,707.5,695.5,695.5,1213728
2010-03-18,701.5318603515625,704.0,712.5,701.5,704.0,1163330
2010-03-19,703.0267333984375,705.5,716.5,704.0,705.5,2709771
2010-03-22,707.510986328125,710.0,712.0,694.5,703.0,786548
2010-03-23,710.9986572265625,713.5,718.0,708.0,708.0,777545
2010-03-24,710.9986572265625,713.5,719.0,705.5,713.0,1372281
2010-03-25,735.4126586914062,738.0,741.5,715.5,715.5,1445663
2010-03-26,739.3988037109375,742.0,744.0,730.5,735.0,1140503
2010-03-29,724.94970703125,727.5,745.5,725.5,745.5,1267312
