Date,adj_close,close,high,low,open,volume
2016-10-26,224.593002319336,225.0,227.0,218.0,225.0,192604808
2016-10-27,228.58572387695312,229.0,230.6100006103516,225.0,225.0,7440348
2016-10-28,239.5658569335937,240.0,248.75,228.5,229.0,4409821
2016-10-31,249.5477752685547,250.0,250.75,238.0,248.75,3677740
2016-11-01,248.5495758056641,249.0,259.75,227.3350067138672,259.75,3915239
2016-11-02,249.5477752685547,250.0,253.6999969482422,247.0,250.0,5274988
2016-11-03,249.5477752685547,250.0,251.75,247.0,247.0,770998
2016-11-04,248.5495758056641,249.0,251.5,247.5,247.5,787699
2016-11-07,255.037826538086,255.5,255.5,247.0,250.0,3013238
2016-11-08,254.53872680664065,255.0,256.25,252.25,254.0,1182855
2016-11-09,249.5477752685547,250.0,254.75,248.0,250.0,1868163
2016-11-10,242.56044006347656,243.0,258.0,239.5,250.25,4435295
2016-11-11,243.55859375,244.0,248.29800415039065,242.0,242.75,1063642
2016-11-14,238.56765747070312,239.0,245.75,236.25,236.25,1715219
2016-11-15,236.5712890625,237.0,242.5,235.25,235.25,288353
2016-11-16,233.5767364501953,234.0,238.25,232.25,236.75,2138287
2016-11-17,232.32894897460932,232.75,238.8719940185547,230.5,237.25,1089004
2016-11-18,235.07400512695312,235.5,238.5,232.5,238.0,411639
2016-11-21,234.574935913086,235.0,242.5,234.9770050048828,242.5,1379495
2016-11-22,236.5712890625,237.0,240.5,235.25,235.25,2458328
2016-11-23,234.574935913086,235.0,240.0,231.25,240.0,1366840
2016-11-24,232.5785369873047,233.0,233.75,213.0,223.75,3351377
2016-11-25,238.06857299804688,238.5,242.5,236.5,237.0,1064561
2016-11-28,238.81723022460932,239.25,244.75,238.5,244.75,1214802
2016-11-29,239.0667724609375,239.5,241.0,238.0,238.25,1752265
2016-11-30,237.56948852539065,238.0,245.0,235.25,245.0,1623854
2016-12-01,241.31268310546875,241.75,245.0,238.0,240.0,2230162
2016-12-02,234.574935913086,235.0,245.75,232.5,245.75,2416573
2016-12-05,237.56948852539065,238.0,240.0800018310547,230.25,239.0,4384189
2016-12-06,239.5658569335937,240.0,241.5,236.25,239.75,3780560
2016-12-07,241.811767578125,242.25,242.75,239.25,242.75,1159080
2016-12-08,241.56222534179688,242.0,245.0,240.75,245.0,1610743
2016-12-09,242.8099822998047,243.25,245.0,240.25,240.25,2603431
2016-12-12,244.55682373046875,245.0,246.75,242.875,243.25,1348654
2016-12-13,246.55322265625,247.0,248.0,240.0,240.0,1755389
2016-12-14,243.55859375,244.0,248.5,241.5,248.25,1482948
2016-12-15,236.5712890625,237.0,244.75,236.75,244.25,4202600
2016-12-16,233.5767364501953,234.0,239.0,231.0,234.75,36315820
2016-12-19,228.58572387695312,229.0,239.0,228.1999969482422,239.0,1940355
2016-12-20,229.484130859375,229.8999938964844,231.5,223.2469940185547,231.5,2641009
2016-12-21,229.0848388671875,229.5,233.1999969482422,226.3999938964844,232.5,2261142
2016-12-22,230.881576538086,231.3000030517578,233.3999938964844,230.1000061035156,233.3000030517578,958603
2016-12-23,232.27908325195312,232.6999969482422,233.8999938964844,230.0,233.8999938964844,264712
2016-12-28,236.4714508056641,236.8999938964844,239.8000030517578,232.3300018310547,233.8999938964844,753183
2016-12-29,234.574935913086,235.0,238.8000030517578,234.3000030517578,237.6000061035156,542519
2016-12-30,233.4768524169922,233.8999938964844,239.5,232.0,235.8999938964844,665698
2017-01-03,240.164779663086,240.6000061035156,240.6999969482422,229.3999938964844,229.3999938964844,3086076
2017-01-04,241.56222534179688,242.0,243.1999969482422,236.8159942626953,240.1999969482422,1348412
2017-01-05,242.66026306152344,243.1000061035156,244.0,240.1000061035156,240.1000061035156,1075320
2017-01-06,242.260986328125,242.6999969482422,245.6000061035156,240.8000030517578,242.3000030517578,1023913
2017-01-09,238.8671264648437,239.3000030517578,243.3999938964844,238.1000061035156,243.3999938964844,986821
2017-01-10,239.0667724609375,239.5,241.0,238.1000061035156,238.1000061035156,1867091
2017-01-11,238.767318725586,239.1999969482422,241.60499572753903,238.1999969482422,239.0,1241524
2017-01-12,240.5640563964844,241.0,241.6000061035156,238.8000030517578,240.6999969482422,1092096
2017-01-13,239.26638793945312,239.6999969482422,243.73199462890625,239.6999969482422,241.3000030517578,748975
2017-01-16,241.56222534179688,242.0,243.8000030517578,240.1999969482422,240.1999969482422,665148
2017-01-17,239.5658569335937,240.0,243.7740020751953,238.1999969482422,242.3999938964844,969582
2017-01-18,240.86349487304688,241.3000030517578,242.3999938964844,237.0500030517578,237.1000061035156,561112
2017-01-19,241.3625946044922,241.8000030517578,243.5,240.8999938964844,243.5,1436279
2017-01-20,237.56948852539065,238.0,242.1999969482422,237.2530059814453,241.1000061035156,1085584
2017-01-23,239.5658569335937,240.0,240.6999969482422,238.0,238.6999969482422,1547312
2017-01-24,237.0703887939453,237.5,245.0,237.1000061035156,245.0,1583162
2017-01-25,238.4678192138672,238.8999938964844,241.1000061035156,237.6000061035156,237.6000061035156,3794638
2017-01-26,241.26275634765625,241.6999969482422,241.8999938964844,239.8000030517578,240.0,650182
