Date,adj_close,close,high,low,open,volume
2010-01-04,1256.1123046875,1260.0,1264.0,1252.0,1260.0,308150
2010-01-05,1241.1585693359375,1245.0,1260.0,1243.0,1259.0,368372
2010-01-06,1246.1434326171875,1250.0,1250.0,1240.0,1248.0,455175
2010-01-07,1233.18310546875,1237.0,1250.0,1229.0,1246.0,461080
2010-01-08,1230.1927490234375,1234.0,1246.0,1223.0,1240.0,426642
2010-01-11,1226.2052001953125,1230.0,1243.0,1227.0,1243.0,310925
2010-01-12,1220.2235107421875,1224.0,1234.0,1211.0,1228.0,715499
2010-01-13,1210.25439453125,1214.0,1225.0,1195.0,1224.0,367276
2010-01-14,1210.25439453125,1214.0,1226.0,1207.0,1217.0,327180
2010-01-15,1231.189697265625,1235.0,1253.0,1213.0,1213.0,913006
2010-01-18,1237.1708984375,1241.0,1249.0,1234.0,1242.0,204909
2010-01-19,1249.134033203125,1253.0,1257.0,1221.0,1235.0,643185
2010-01-20,1250.1309814453125,1254.0,1262.0,1250.0,1253.0,384562
2010-01-21,1251.128173828125,1255.0,1275.0,1251.0,1260.0,625564
2010-01-22,1214.2418212890625,1218.0,1255.0,1216.0,1252.0,479369
2010-01-25,1212.2484130859375,1216.0,1222.0,1205.0,1214.0,233224
2010-01-26,1207.263671875,1211.0,1213.0,1201.0,1213.0,344738
2010-01-27,1196.29736328125,1200.0,1210.0,1196.0,1204.0,367382
2010-01-28,1190.316162109375,1194.0,1211.0,1194.0,1209.0,465046
2010-01-29,1206.266357421875,1210.0,1226.0,1198.0,1198.0,733840
2010-02-01,1206.266357421875,1210.0,1223.0,1204.0,1204.0,547125
2010-02-02,1213.2449951171875,1217.0,1226.0,1211.0,1214.0,294542
2010-02-03,1204.2728271484375,1208.0,1216.0,1203.0,1215.0,192886
2010-02-04,1168.3839111328125,1172.0,1213.0,1170.0,1211.0,319517
2010-02-05,1146.4520263671875,1150.0,1172.0,1138.0,1165.0,534848
2010-02-08,1146.4520263671875,1150.0,1159.0,1136.0,1152.0,377280
2010-02-09,1150.4395751953125,1154.0,1159.0,1140.0,1154.0,230725
2010-02-10,1172.3714599609375,1176.0,1179.0,1148.0,1157.0,341015
2010-02-11,1187.325439453125,1191.0,1206.0,1172.0,1182.0,404254
2010-02-12,1173.3685302734375,1177.0,1198.0,1171.0,1196.0,539591
2010-02-15,1179.3499755859375,1183.0,1192.0,1181.0,1183.0,233828
2010-02-16,1173.3685302734375,1177.0,1194.0,1165.0,1194.0,286421
2010-02-17,1191.312744140625,1195.0,1201.0,1171.0,1182.0,174228
2010-02-18,1197.29443359375,1201.0,1205.0,1191.0,1195.0,289768
2010-02-19,1210.25439453125,1214.0,1221.0,1191.0,1191.0,699605
2010-02-22,1214.2418212890625,1218.0,1230.0,1203.0,1214.0,694453
2010-02-23,1284.0260009765625,1288.0,1290.0,1230.0,1231.0,791593
2010-02-24,1273.0601806640625,1277.0,1291.0,1265.0,1285.0,856666
2010-02-25,1262.09375,1266.0,1286.0,1253.0,1271.0,873419
2010-02-26,1278.044677734375,1282.0,1286.0,1268.0,1273.0,477023
2010-03-01,1307.951904296875,1312.0,1316.0,1282.0,1285.0,578940
2010-03-02,1318.9183349609375,1323.0,1335.0,1311.0,1311.0,282990
2010-03-03,1329.8841552734375,1334.0,1337.0,1321.0,1323.0,300409
2010-03-04,1334.869140625,1339.0,1341.0,1331.0,1334.0,286828
2010-03-05,1341.84716796875,1346.0,1350.0,1317.0,1338.0,301502
2010-03-08,1319.9146728515625,1324.0,1357.0,1318.0,1354.0,334131
2010-03-09,1319.9146728515625,1324.0,1330.0,1294.0,1328.0,494952
2010-03-10,1348.8258056640625,1353.0,1356.0,1328.0,1329.0,581570
2010-03-11,1373.7484130859375,1378.0,1384.0,1353.0,1353.0,337405
2010-03-12,1405.6495361328125,1410.0,1414.0,1378.0,1385.0,627250
2010-03-15,1395.6807861328125,1400.0,1418.0,1398.0,1400.0,313747
2010-03-16,1416.615966796875,1421.0,1426.0,1397.0,1397.0,283038
2010-03-17,1427.5816650390625,1432.0,1435.0,1415.0,1415.0,204888
2010-03-18,1441.53857421875,1446.0,1455.0,1431.0,1431.0,319471
2010-03-19,1437.55078125,1442.0,1455.0,1437.0,1447.0,733664
2010-03-22,1450.5111083984375,1455.0,1458.0,1431.0,1437.0,208871
2010-03-23,1459.4830322265625,1464.0,1482.0,1453.0,1456.0,360626
2010-03-24,1458.486328125,1463.0,1473.0,1459.0,1465.0,212669
2010-03-25,1464.4677734375,1469.0,1472.0,1460.0,1460.0,243355
2010-03-26,1465.464111328125,1470.0,1481.0,1463.0,1464.0,266669
2010-03-29,1441.53857421875,1446.0,1474.0,1443.0,1473.0,406766
2010-03-30,1452.5047607421875,1457.0,1464.0,1444.0,1454.0,249383
2010-03-31,1453.50146484375,1458.0,1465.0,1446.0,1453.0,394906
2010-04-01,1491.3846435546875,1496.0,1496.0,1455.0,1463.0,174716
2010-04-06,1515.310546875,1520.0,1524.0,1488.0,1500.0,354357
2010-04-07,1500.356689453125,1505.0,1528.0,1501.0,1522.0,257961
2010-04-08,1482.4119873046875,1487.0,1512.0,1484.0,1500.0,205212
2010-04-09,1496.369140625,1501.0,1506.0,1486.0,1498.0,235555
2010-04-12,1465.464111328125,1470.0,1504.0,1470.0,1497.0,463934
2010-04-13,1459.4830322265625,1464.0,1481.0,1456.0,1477.0,330790
2010-04-14,1456.492431640625,1461.0,1467.0,1454.0,1467.0,218666
2010-04-15,1465.464111328125,1470.0,1473.0,1459.0,1461.0,347745
2010-04-16,1488.393798828125,1493.0,1503.0,1460.0,1460.0,784993
2010-04-19,1476.4306640625,1481.0,1496.0,1479.0,1486.0,96168
2010-04-20,1495.372314453125,1500.0,1502.0,1483.0,1484.0,199245
2010-04-21,1500.356689453125,1505.0,1513.0,1496.0,1505.0,418561
2010-04-22,1529.2672119140625,1534.0,1576.0,1522.0,1561.0,589988
2010-04-23,1524.28271484375,1529.0,1540.0,1488.0,1520.0,269974
2010-04-26,1493.3782958984375,1498.0,1517.0,1490.0,1517.0,570706
2010-04-27,1468.4554443359375,1473.0,1502.0,1473.0,1499.0,298272
2010-04-28,1458.486328125,1463.0,1479.0,1450.0,1466.0,464666
2010-04-29,1481.4154052734375,1486.0,1494.0,1461.0,1462.0,491885
2010-04-30,1484.406005859375,1489.0,1506.0,1486.0,1494.0,541722
2010-05-04,1488.393798828125,1493.0,1531.0,1490.0,1517.0,607063
2010-05-05,1461.4769287109375,1466.0,1496.0,1464.0,1496.0,373359
2010-05-06,1435.5570068359375,1440.0,1490.0,1440.0,1468.0,702276
2010-05-07,1358.795166015625,1363.0,1427.0,1353.0,1409.0,832551
2010-05-10,1451.507568359375,1456.0,1470.0,1370.0,1398.0,1000198
2010-05-11,1436.5543212890625,1441.0,1448.0,1427.0,1435.0,318281
2010-05-12,1472.4429931640625,1477.0,1478.0,1432.0,1441.0,267207
2010-05-13,1475.4337158203125,1480.0,1490.0,1472.0,1484.0,373134
2010-05-14,1446.523681640625,1451.0,1490.0,1447.0,1473.0,623896
2010-05-17,1424.5909423828125,1429.0,1453.0,1425.0,1440.0,395736
2010-05-18,1421.6005859375,1426.0,1437.0,1421.0,1435.0,511155
2010-05-19,1367.7669677734375,1372.0,1416.0,1372.0,1408.0,635717
2010-05-20,1328.88720703125,1333.0,1391.0,1324.0,1380.0,653404
2010-05-21,1331.8780517578125,1336.0,1339.0,1304.0,1324.0,701920
2010-05-24,1346.8316650390625,1351.0,1354.0,1337.0,1343.0,414895
2010-05-25,1326.8935546875,1331.0,1340.0,1316.0,1320.0,579607
2010-05-26,1350.8194580078125,1355.0,1366.0,1335.0,1344.0,451890
2010-05-27,1393.687255859375,1398.0,1398.0,1359.0,1359.0,404113
2010-05-28,1417.6126708984375,1422.0,1435.0,1404.0,1404.0,537178
2010-06-01,1405.6495361328125,1410.0,1431.0,1400.0,1421.0,423423
2010-06-02,1386.878662109375,1391.0,1394.0,1376.0,1390.0,288339
2010-06-03,1398.8427734375,1403.0,1423.0,1402.0,1413.0,364599
2010-06-04,1391.86376953125,1396.0,1417.0,1390.0,1403.0,373829
2010-06-07,1374.913818359375,1379.0,1386.0,1369.0,1373.0,299436
2010-06-08,1374.913818359375,1379.0,1387.0,1371.0,1380.0,242728
2010-06-09,1408.81298828125,1413.0,1413.0,1376.0,1380.0,308398
2010-06-10,1419.7806396484375,1424.0,1424.0,1394.0,1400.0,336648
2010-06-11,1420.77734375,1425.0,1432.0,1411.0,1423.0,204074
2010-06-14,1427.7568359375,1432.0,1440.0,1418.0,1440.0,195034
2010-06-15,1444.70654296875,1449.0,1450.0,1418.0,1421.0,217223
2010-06-16,1445.703125,1450.0,1461.0,1443.0,1449.0,348251
2010-06-17,1439.721435546875,1444.0,1452.0,1438.0,1445.0,235242
2010-06-18,1442.71240234375,1447.0,1450.0,1435.0,1441.0,475410
2010-06-21,1458.665283203125,1463.0,1468.0,1452.0,1460.0,564296
2010-06-22,1499.54345703125,1504.0,1504.0,1462.0,1462.0,575886
2010-06-23,1494.5584716796875,1499.0,1506.0,1484.0,1487.0,337340
2010-06-24,1496.552490234375,1501.0,1508.0,1495.0,1507.0,279496
2010-06-25,1475.6151123046875,1480.0,1507.0,1480.0,1507.0,266228
2010-06-28,1490.5704345703125,1495.0,1500.0,1475.0,1482.0,235120
2010-06-29,1442.71240234375,1447.0,1482.0,1439.0,1473.0,476329
2010-06-30,1438.7244873046875,1443.0,1462.0,1436.0,1445.0,337582
2010-07-01,1432.741943359375,1437.0,1456.0,1415.0,1426.0,541194
2010-07-02,1445.703125,1450.0,1467.0,1425.0,1443.0,369426
2010-07-05,1471.6265869140625,1476.0,1478.0,1450.0,1450.0,233484
2010-07-06,1516.4930419921875,1521.0,1521.0,1479.0,1481.0,336105
2010-07-07,1516.4930419921875,1521.0,1523.0,1503.0,1504.0,341912
2010-07-08,1570.3331298828125,1575.0,1585.0,1533.0,1533.0,597410
2010-07-09,1565.347900390625,1570.0,1596.0,1559.0,1595.0,666736
2010-07-12,1572.327392578125,1577.0,1586.0,1567.0,1577.0,382200
2010-07-13,1635.1405029296875,1640.0,1642.0,1581.0,1581.0,666618
2010-07-14,1621.18212890625,1626.0,1648.0,1617.0,1648.0,383439
2010-07-15,1629.158447265625,1634.0,1637.0,1601.0,1619.0,597931
2010-07-16,1631.152587890625,1636.0,1667.0,1628.0,1631.0,680919
2010-07-19,1648.1021728515625,1653.0,1655.0,1624.0,1627.0,487208
2010-07-20,1668.04296875,1673.0,1677.0,1635.0,1667.0,500944
2010-07-21,1706.9276123046875,1712.0,1745.0,1680.0,1682.0,1941214
2010-07-22,1693.966064453125,1699.0,1703.0,1675.0,1698.0,585698
2010-07-23,1672.03125,1677.0,1702.0,1659.0,1702.0,633344
2010-07-26,1672.03125,1677.0,1684.0,1664.0,1684.0,375784
2010-07-27,1664.0550537109375,1669.0,1689.0,1661.0,1678.0,471346
2010-07-28,1599.247314453125,1604.0,1680.0,1597.0,1668.0,637138
2010-07-29,1597.25341796875,1602.0,1614.0,1579.0,1604.0,481109
2010-07-30,1572.327392578125,1577.0,1607.0,1577.0,1602.0,584461
2010-08-02,1669.039794921875,1674.0,1705.0,1614.0,1642.0,957456
2010-08-03,1657.0758056640625,1662.0,1686.0,1646.0,1654.0,510943
2010-08-04,1654.08447265625,1659.0,1667.0,1625.0,1667.0,383405
2010-08-05,1670.0369873046875,1675.0,1686.0,1651.0,1654.0,397896
2010-08-06,1680.007080078125,1685.0,1698.0,1670.0,1675.0,585164
2010-08-09,1707.924072265625,1713.0,1715.0,1697.0,1698.0,305460
2010-08-10,1718.8914794921875,1724.0,1741.0,1710.0,1719.0,426059
2010-08-11,1676.019287109375,1681.0,1724.0,1680.0,1722.0,643167
2010-08-12,1644.114013671875,1649.0,1684.0,1645.0,1675.0,386325
2010-08-13,1648.1021728515625,1653.0,1671.0,1644.0,1651.0,397159
2010-08-16,1641.1229248046875,1646.0,1664.0,1636.0,1660.0,264464
2010-08-17,1669.039794921875,1674.0,1674.0,1641.0,1645.0,481313
2010-08-18,1739.8294677734375,1745.0,1770.0,1701.0,1701.0,1345930
2010-08-19,1708.9215087890625,1714.0,1749.0,1709.0,1749.0,805935
2010-08-20,1705.93017578125,1711.0,1719.0,1686.0,1707.0,681139
2010-08-23,1717.894775390625,1723.0,1729.0,1711.0,1716.0,479946
2010-08-24,1692.9688720703125,1698.0,1719.0,1692.0,1715.0,772707
2010-08-25,1670.0369873046875,1675.0,1706.0,1673.0,1699.0,805392
2010-08-26,1684.9925537109375,1690.0,1703.0,1679.0,1682.0,905741
2010-08-27,1693.966064453125,1699.0,1735.0,1674.0,1694.0,1028490
2010-08-31,1679.010498046875,1684.0,1720.0,1648.0,1720.0,9840571
2010-09-01,1693.966064453125,1699.0,1704.0,1670.0,1681.0,754258
2010-09-02,1682.001220703125,1687.0,1697.0,1673.0,1679.0,813535
2010-09-03,1677.016357421875,1682.0,1695.0,1673.0,1688.0,833879
2010-09-06,1681.004150390625,1686.0,1698.0,1681.0,1691.0,268263
2010-09-07,1692.9688720703125,1698.0,1699.0,1677.0,1687.0,324606
2010-09-08,1709.918212890625,1715.0,1721.0,1684.0,1696.0,458724
2010-09-09,1733.8475341796875,1739.0,1743.0,1712.0,1734.0,344097
2010-09-10,1754.7850341796875,1760.0,1761.0,1736.0,1740.0,380863
2010-09-13,1775.72314453125,1781.0,1791.0,1754.0,1775.0,293442
2010-09-14,1788.6844482421875,1794.0,1808.0,1774.0,1782.0,481021
2010-09-15,1794.6666259765625,1800.0,1805.0,1788.0,1795.0,553197
2010-09-16,1789.6817626953125,1795.0,1808.0,1790.0,1798.0,304047
2010-09-17,1782.7022705078125,1788.0,1837.0,1787.0,1811.0,676183
2010-09-20,1847.5093994140625,1853.0,1860.0,1799.0,1800.0,659032
2010-09-21,1840.5302734375,1846.0,1863.0,1829.0,1855.0,310204
2010-09-22,1837.5391845703125,1843.0,1856.0,1823.0,1853.0,284320
2010-09-23,1822.583740234375,1828.0,1858.0,1814.0,1858.0,242261
2010-09-24,1821.58642578125,1827.0,1837.0,1811.0,1819.0,699106
2010-09-27,1807.6279296875,1813.0,1830.0,1811.0,1823.0,295982
2010-09-28,1814.607421875,1820.0,1824.0,1782.0,1810.0,318935
2010-09-29,1830.5599365234373,1836.0,1838.0,1813.0,1826.0,488570
2010-09-30,1824.5775146484373,1830.0,1858.0,1828.0,1834.0,569297
2010-10-01,1812.6138916015625,1818.0,1837.0,1807.0,1824.0,501086
2010-10-04,1793.6697998046875,1799.0,1820.0,1789.0,1817.0,345135
2010-10-05,1814.607421875,1820.0,1825.0,1798.0,1798.0,273591
2010-10-06,1836.5419921875,1842.0,1845.0,1826.0,1837.0,254541
2010-10-07,1826.5716552734373,1832.0,1848.0,1818.0,1848.0,227614
