Date,adj_close,close,high,low,open,volume
2010-01-04,211.10369873046875,211.5,214.0,204.0,204.0,106588
2010-01-05,214.59707641601562,215.0,217.0,210.5,213.0,61350
2010-01-06,213.59898376464844,214.0,216.8800048828125,210.39999389648438,210.39999389648438,2279
2010-01-07,213.59898376464844,214.0,216.8800048828125,214.0,216.8800048828125,2061
2010-01-08,209.6064910888672,210.0,220.0,210.0,215.0,0
2010-01-11,213.59898376464844,214.0,216.8800048828125,210.0,214.0,8676
2010-01-12,213.34945678710938,213.75,216.0,210.0,210.0,1008
2010-01-13,215.59521484375,216.0,216.0,212.10000610351562,215.0,214438
2010-01-14,219.5877685546875,220.0,222.55999755859375,212.60000610351562,220.0,404470
2010-01-15,214.59707641601562,215.0,224.0,215.0,219.5,0
2010-01-18,219.5877685546875,220.0,220.0,215.72500610351562,215.72500610351562,350
2010-01-19,215.345703125,215.75,216.0,211.0,211.0,100140
2010-01-20,230.567138671875,231.0,233.0,225.0,225.0,7172
2010-01-21,237.80357360839844,238.25,239.0,228.35000610351562,230.0,18291
2010-01-22,246.03807067871094,246.5,246.75,229.5,236.0,52777
2010-01-25,247.53530883789062,248.0,248.0,239.35000610351562,247.0,105856
2010-01-26,247.53530883789062,248.0,248.0,243.25,243.25,34340
2010-01-27,244.04180908203125,244.5,250.0,241.75999450683594,247.75,197335
2010-01-28,239.55030822753906,240.0,241.61000061035156,239.0,240.25,47655
2010-01-29,249.531494140625,250.0,250.0,240.0,244.75,14770
2010-02-01,246.28761291503906,246.75,249.75,238.24000549316406,249.75,86178
2010-02-02,244.2913360595703,244.75,250.0,243.4499969482422,249.75,107068
2010-02-03,254.52212524414062,255.0,255.0,248.97000122070312,250.0,7047
2010-02-04,274.4847106933594,275.0,275.0,275.0,275.0,125148
2010-02-05,254.02316284179688,254.5,258.0,250.0,250.0,28732
2010-02-08,255.021240234375,255.5,257.75,248.0,250.25,46179
2010-02-09,246.53709411621094,247.0,255.0,245.0,248.25,173292
2010-02-10,246.03807067871094,246.5,246.5500030517578,243.0,243.0,14305
2010-02-11,254.2726593017578,254.75,254.75,249.75,249.75,3621
2010-02-12,254.52212524414062,255.0,255.0,250.0,252.0,10043
2010-02-15,249.531494140625,250.0,253.8000030517578,245.0,245.0,1486
2010-02-16,249.28199768066406,249.75,249.75,245.75,245.75,4628
2010-02-17,248.03439331054688,248.5,249.63999938964844,247.0,247.0,1419
