Date,adj_close,close,high,low,open,volume
2010-01-04,820.1174926757812,825.0,825.0,785.0,800.0,7785
2010-01-05,844.9693603515625,850.0,850.0,810.0,810.0,19855
2010-01-06,818.12939453125,823.0,845.0,820.0,823.0,12912
2010-01-07,863.35986328125,868.5,873.0,830.0,846.0,58643
2010-01-08,836.022705078125,841.0,873.0,841.0,850.0,33558
2010-01-11,865.8448486328125,871.0,871.0,848.5,861.5,71875
2010-01-12,854.91015625,860.0,872.0,810.0,872.0,23865
2010-01-13,839.9991455078125,845.0,861.0,841.0,857.0,10616
2010-01-14,842.9812622070312,848.0,855.0,841.5,855.0,30694
2010-01-15,846.95751953125,852.0,860.0,840.0,860.0,7576
2010-01-18,850.9338989257812,856.0,860.0,842.5,860.0,10105
2010-01-19,847.95166015625,853.0,860.0,840.0,860.0,21900
2010-01-20,838.0108032226562,843.0,860.0,836.0,859.5,28899
2010-01-21,835.525634765625,840.5,850.0,840.0,843.0,9056
2010-01-22,829.5612182617188,834.5,852.0,834.5,849.5,35417
2010-01-25,820.1174926757812,825.0,849.5,825.0,849.5,10270
2010-01-26,821.1112670898438,826.0,835.0,826.0,827.0,17191
2010-01-27,826.5789794921875,831.5,837.0,826.5,826.5,7763
2010-01-28,821.1112670898438,826.0,848.5,826.0,848.5,19648
2010-01-29,825.087890625,830.0,849.5,819.0,839.5,50226
2010-02-01,812.164794921875,817.0,828.5,800.5,826.5,22697
2010-02-02,825.5848999023438,830.5,830.5,801.0,822.0,26215
2010-02-03,805.206298828125,810.0,830.0,804.2349853515625,830.0,35325
2010-02-04,805.7031860351562,810.5,831.0,806.0,831.0,40881
2010-02-05,782.34228515625,787.0,822.5,787.0,816.5,205082
2010-02-08,791.2890625,796.0,801.0,790.5,800.0,86870
2010-02-09,782.34228515625,787.0,807.5,787.0,807.5,11057
2010-02-10,790.2948608398438,795.0,811.0,790.0,811.0,63994
2010-02-11,792.2832641601562,797.0,809.0,793.5,804.5,4485
2010-02-12,810.1765747070312,815.0,815.0,786.1519775390625,802.5,34195
2010-02-15,805.206298828125,810.0,815.0,799.094970703125,814.5,6570
2010-02-16,824.0938110351562,829.0,829.0,804.0,815.0,11453
2010-02-17,835.0287475585938,840.0,840.0,815.0,825.0,80282
2010-02-18,830.058349609375,835.0,835.0,817.0,820.0,8284
2010-02-19,829.064208984375,834.0,834.0,810.0,827.5,14444
2010-02-22,835.0287475585938,840.0,840.0,810.0,828.5,51834
2010-02-23,817.63232421875,822.5,825.5,811.5,820.0,13480
2010-02-24,815.1470947265625,820.0,836.0,813.5,836.0,58177
2010-02-25,805.206298828125,810.0,825.0,810.0,825.0,103057
2010-02-26,813.1588134765625,818.0,823.0,810.0,810.0,56905
2010-03-01,833.5374755859375,838.5,838.5,812.5,836.5,40811
2010-03-02,817.63232421875,822.5,828.5,815.5,827.0,97049
2010-03-03,800.4888305664062,805.0,805.0,790.0,805.0,44884
2010-03-04,806.4550170898438,811.0,811.0,800.0,805.0,125382
2010-03-05,833.8008422851562,838.5,841.5,801.0,805.5,288931
2010-03-08,842.7506713867188,847.5,847.5,825.5,831.0,22844
2010-03-09,836.7841186523438,841.5,841.5,822.0,822.0,314381
2010-03-10,843.2479248046875,848.0,866.8660278320312,830.0,830.0,478951
2010-03-11,835.29248046875,840.0,846.0,836.5,836.5,20153
2010-03-12,848.2196044921875,853.0,864.2849731445312,842.0,848.0,169678
2010-03-15,845.2366943359375,850.0,860.0,850.0,858.5,22999
2010-03-16,840.7619018554688,845.5,850.0,838.5,845.5,88813
2010-03-17,833.8008422851562,838.5,858.0,834.0,858.0,32746
2010-03-18,852.197265625,857.0,872.02197265625,832.0,832.0,550312
2010-03-19,830.3206176757812,835.0,860.0,830.0,844.0,236283
2010-03-22,838.7730102539062,843.5,855.0,834.0,855.0,12380
2010-03-23,835.29248046875,840.0,855.5,835.5,855.0,50427
2010-03-24,851.7000122070312,856.5,869.8690185546875,830.0,852.0,55549
2010-03-25,857.6664428710938,862.5,865.0,840.0,840.5,28447
2010-03-26,858.6610107421875,863.5,868.2249755859375,845.0,846.0,54225
2010-03-29,846.23095703125,851.0,865.0,850.0,863.5,14228
2010-03-30,860.1526489257812,865.0,875.0,862.0,864.5,53456
2010-03-31,870.0966186523438,875.0,876.5,859.5,868.5,48772
2010-04-01,872.5823974609375,877.5,880.0,870.0,879.0,22594
2010-04-06,882.029296875,887.0,887.0,857.0,857.0,29770
2010-04-07,898.9340209960938,904.0,904.0,881.0,881.0,90545
2010-04-08,902.9115600585938,908.0,910.0,895.0,895.0,53738
2010-04-09,910.8668212890624,916.0,916.0,901.0,908.0,31048
2010-04-12,899.9284057617188,905.0,915.0,895.0,908.5,39003
2010-04-13,907.8836059570312,913.0,915.0,905.0,908.0,17340
2010-04-14,911.861083984375,917.0,919.0,906.5,906.5,14602
2010-04-15,916.8330078125,922.0,932.0,917.0,920.0,901954
2010-04-16,932.2462158203124,937.5,937.5,920.0,920.0,17195
2010-04-19,916.8330078125,922.0,930.0,915.0,915.0,18441
2010-04-20,919.81640625,925.0,925.0,910.0,910.0,38417
2010-04-21,914.34716796875,919.5,931.5,908.0,910.0,37791
2010-04-22,907.38623046875,912.5,928.0,910.0,925.0,17146
