Date,adj_close,close,high,low,open,volume
2010-01-04,639.363525390625,641.5,646.0,636.5,636.5,1290666
2010-01-05,634.3799438476562,636.5,640.5,635.0,639.5,1129696
2010-01-06,628.8986206054688,631.0,639.0,625.5,636.5,2092628
2010-01-07,629.3967895507812,631.5,637.0,629.0,630.5,3676719
2010-01-08,630.891845703125,633.0,636.5,628.0,632.5,2354371
2010-01-11,639.363525390625,641.5,646.0,630.5,633.0,2516820
2010-01-12,646.3403930664062,648.5,651.5,640.5,640.5,2594998
2010-01-13,639.8618774414062,642.0,649.5,639.5,649.0,2396325
2010-01-14,648.33349609375,650.5,653.0,642.5,643.0,2219796
2010-01-15,632.8851318359375,635.0,648.5,634.0,648.5,5807517
2010-01-18,636.37353515625,638.5,641.5,632.0,637.0,1217669
2010-01-19,639.8618774414062,642.0,656.0,630.0,639.0,3004084
2010-01-20,632.8851318359375,635.0,653.5,633.0,643.5,4363573
2010-01-21,628.400390625,630.5,643.0,629.5,637.5,2233472
2010-01-22,626.4067993164062,628.5,636.0,627.0,629.5,2792256
2010-01-25,623.4168701171875,625.5,626.5,619.5,625.0,2209808
2010-01-26,630.3934326171875,632.5,632.5,617.5,623.0,1965137
2010-01-27,629.3967895507812,631.5,632.5,625.5,630.0,2908217
2010-01-28,628.8986206054688,631.0,640.5,630.0,637.5,4616511
2010-01-29,630.891845703125,633.0,638.0,628.0,634.0,4774320
2010-02-01,632.3866577148438,634.5,635.5,626.0,631.0,1696789
2010-02-02,638.865234375,641.0,643.0,632.5,634.5,2627499
2010-02-03,637.86865234375,640.0,642.5,637.0,641.0,1700676
2010-02-04,633.3836059570312,635.5,641.5,631.0,641.5,2819556
2010-02-05,622.4202270507812,624.5,634.5,616.0,632.0,3349780
2010-02-08,630.3934326171875,632.5,641.5,630.5,630.5,2795444
2010-02-09,633.3836059570312,635.5,639.0,631.5,631.5,2153295
2010-02-10,630.891845703125,633.0,642.0,628.5,636.5,1852366
2010-02-11,657.8019409179688,660.0,666.5,642.5,649.0,5778595
2010-02-12,650.8251953125,653.0,668.0,647.0,666.0,3567402
2010-02-15,656.8052368164062,659.0,661.5,656.0,657.0,1227571
2010-02-16,661.290283203125,663.5,665.0,656.0,660.0,1656995
2010-02-17,651.8218383789062,654.0,667.5,651.5,665.0,2953630
2010-02-18,657.3037719726562,659.5,664.5,655.5,656.0,5080380
2010-02-19,662.7852172851562,665.0,670.5,654.0,657.5,8133442
2010-02-22,660.7921752929688,663.0,667.5,661.5,665.5,2854102
2010-02-23,670.2601928710938,672.5,676.5,663.0,663.5,2276675
2010-02-24,671.2568969726562,673.5,679.5,671.0,674.0,2548414
2010-02-25,664.7785034179688,667.0,676.0,665.5,671.5,1801968
2010-02-26,671.2568969726562,673.5,674.0,665.5,667.0,2382945
2010-03-01,684.7119750976562,687.0,692.0,674.5,674.5,2137198
2010-03-02,684.7119750976562,687.0,693.0,685.5,689.5,1775803
2010-03-03,690.692138671875,693.0,694.5,687.5,687.5,3402666
2010-03-04,689.6954956054688,692.0,700.0,689.0,692.0,2208798
2010-03-05,694.180419921875,696.5,698.0,691.0,693.5,1248880
2010-03-08,693.6822509765625,696.0,700.0,693.0,698.0,1483808
2010-03-09,693.1837768554688,695.5,696.5,691.0,695.5,1231308
2010-03-10,693.1837768554688,695.5,698.0,689.5,694.0,1295754
2010-03-11,675.2437744140625,677.5,686.5,673.5,685.0,4469989
2010-03-12,674.7450561523438,677.0,680.5,674.5,679.0,1539908
2010-03-15,674.2468872070312,676.5,678.5,673.5,678.0,1572313
2010-03-16,677.23681640625,679.5,681.5,676.5,678.0,1713872
