Date,adj_close,close,high,low,open,volume
2010-01-04,70235.7109375,78710.6484375,80209.8984375,75712.140625,75712.140625,55
2010-01-05,74918.09375,83958.0234375,86206.8984375,78710.6484375,80209.8984375,137
2010-01-06,77593.734375,86956.5234375,86956.5234375,83208.3984375,84707.6484375,68
2010-01-07,84951.7734375,95202.3984375,95952.0234375,88455.7734375,88455.7734375,125
2010-01-08,89634.1328125,100449.7734375,101199.3984375,95952.0234375,95952.0234375,99
2010-01-11,93647.6015625,104947.5234375,110944.53125,101949.0234375,101949.0234375,211
2010-01-12,89634.1328125,100449.7734375,107196.3984375,98950.5234375,105697.1484375,536
2010-01-13,90303.0546875,101199.3984375,101199.3984375,101199.3984375,101199.3984375,226
2010-01-14,89634.1328125,100449.7734375,104197.8984375,100449.7734375,101199.3984375,230
2010-01-15,88296.3125,98950.5234375,102698.6484375,98950.5234375,101199.3984375,225
2010-01-18,90303.0546875,101199.3984375,101949.0234375,98950.5234375,99700.1484375,80
2010-01-19,86958.484375,97451.2734375,99700.1484375,95202.3984375,99700.1484375,352
2010-01-20,84951.7734375,95202.3984375,97451.2734375,94452.7734375,97451.2734375,165
2010-01-21,81607.2109375,91454.2734375,92953.5234375,91454.2734375,92953.5234375,217
2010-01-22,82276.1015625,92203.8984375,93703.1484375,89955.0234375,90704.6484375,337
2010-01-25,80938.296875,90704.6484375,92203.8984375,89955.0234375,90704.6484375,181
2010-01-26,78931.5703125,88455.7734375,89955.0234375,86956.5234375,89205.3984375,178
2010-01-27,80269.3828125,89955.0234375,91454.2734375,85457.2734375,88455.7734375,202
2010-01-28,79600.4609375,89205.3984375,92203.8984375,88455.7734375,91454.2734375,133
2010-01-29,79600.4609375,89205.3984375,90704.6484375,86206.8984375,89205.3984375,209
2010-02-01,81607.2109375,91454.2734375,91454.2734375,91454.2734375,91454.2734375,92
2010-02-02,80269.3828125,89955.0234375,91454.2734375,89205.3984375,91454.2734375,103
2010-02-03,81607.2109375,91454.2734375,93703.1484375,89205.3984375,89955.0234375,117
2010-02-04,77593.734375,86956.5234375,91454.2734375,86956.5234375,91454.2734375,132
2010-02-05,76255.8984375,85457.2734375,87706.1484375,84707.6484375,86956.5234375,135
2010-02-08,75587.0078125,84707.6484375,87706.1484375,83958.0234375,87706.1484375,56
2010-02-09,74918.09375,83958.0234375,85457.2734375,82458.7734375,83958.0234375,62
2010-02-10,74918.09375,83958.0234375,86206.8984375,83958.0234375,83958.0234375,70
2010-02-11,74918.09375,83958.0234375,85457.2734375,80959.5234375,83208.3984375,72
2010-02-12,74918.09375,83958.0234375,84707.6484375,82458.7734375,84707.6484375,82
2010-02-15,72911.3515625,81709.1484375,85457.2734375,81709.1484375,83208.3984375,60
2010-02-16,76255.8984375,85457.2734375,85457.2734375,82458.7734375,82458.7734375,110
2010-02-17,80269.3828125,89955.0234375,90704.6484375,86956.5234375,86956.5234375,203
2010-02-18,82945.0390625,92953.5234375,94452.7734375,88455.7734375,89955.0234375,208
2010-02-19,80938.296875,90704.6484375,92953.5234375,89205.3984375,91454.2734375,76
2010-02-22,80938.296875,90704.6484375,92953.5234375,90704.6484375,91454.2734375,50
2010-02-23,78931.5703125,88455.7734375,92203.8984375,88455.7734375,91454.2734375,39
2010-02-24,78262.6484375,87706.1484375,89205.3984375,86956.5234375,87706.1484375,42
2010-02-25,77593.734375,86956.5234375,91454.2734375,84707.6484375,88455.7734375,79
2010-02-26,78262.6484375,87706.1484375,89205.3984375,86956.5234375,86956.5234375,54
2010-03-01,78262.6484375,87706.1484375,89955.0234375,87706.1484375,88455.7734375,120
