Date,adj_close,close,high,low,open,volume
2010-01-01,1233.1834716796875,1237.0,1264.0,1229.0,1255.0,1592777
2010-01-08,1210.254638671875,1214.0,1246.0,1195.0,1240.0,2147522
2010-01-15,1251.1280517578125,1255.0,1275.0,1213.0,1213.0,2771226
2010-01-22,1190.3160400390625,1194.0,1255.0,1194.0,1252.0,1889759
2010-01-29,1168.3836669921875,1172.0,1226.0,1170.0,1198.0,2087910
2010-02-05,1187.3253173828125,1191.0,1206.0,1136.0,1165.0,1888122
2010-02-12,1197.2943115234375,1201.0,1205.0,1165.0,1196.0,1523836
2010-02-19,1262.094482421875,1266.0,1291.0,1191.0,1191.0,3915736
2010-02-26,1334.8687744140625,1339.0,1341.0,1268.0,1273.0,1926190
2010-03-05,1373.74853515625,1378.0,1384.0,1294.0,1338.0,2049560
2010-03-12,1441.538818359375,1446.0,1455.0,1378.0,1385.0,1748394
2010-03-19,1464.468017578125,1469.0,1482.0,1431.0,1447.0,1759185
2010-03-26,1491.384033203125,1496.0,1496.0,1443.0,1464.0,1492440
2010-04-02,1482.4122314453125,1487.0,1528.0,1484.0,1496.0,817530
2010-04-09,1465.4647216796875,1470.0,1506.0,1454.0,1498.0,1596690
2010-04-16,1529.26708984375,1534.0,1576.0,1460.0,1460.0,2088955
2010-04-23,1481.415283203125,1486.0,1540.0,1450.0,1520.0,2095503
2010-04-30,1435.55712890625,1440.0,1531.0,1440.0,1494.0,2224420
2010-05-07,1475.4337158203125,1480.0,1490.0,1353.0,1409.0,2791371
2010-05-14,1328.8870849609375,1333.0,1490.0,1324.0,1473.0,2819908
2010-05-21,1393.686767578125,1398.0,1398.0,1304.0,1324.0,2552425
2010-05-28,1398.6712646484375,1403.0,1435.0,1376.0,1404.0,1613539
2010-06-04,1419.78076171875,1424.0,1424.0,1369.0,1403.0,1561039
2010-06-11,1439.7218017578125,1444.0,1461.0,1411.0,1423.0,1199824
2010-06-18,1496.5523681640625,1501.0,1508.0,1435.0,1441.0,2232428
2010-06-25,1432.7423095703125,1437.0,1507.0,1415.0,1507.0,1856453
2010-07-02,1570.3331298828125,1575.0,1585.0,1425.0,1443.0,1878337
2010-07-09,1629.15869140625,1634.0,1648.0,1559.0,1595.0,2696924
2010-07-16,1693.9654541015625,1699.0,1745.0,1624.0,1631.0,4195983
2010-07-23,1597.25341796875,1602.0,1702.0,1579.0,1702.0,2598721
2010-07-30,1670.036865234375,1675.0,1705.0,1577.0,1602.0,2834161
2010-08-06,1644.1136474609375,1649.0,1741.0,1645.0,1675.0,2346175
2010-08-13,1708.92138671875,1714.0,1770.0,1636.0,1651.0,3294801
2010-08-20,1684.992431640625,1690.0,1729.0,1673.0,1707.0,3644925
2010-08-27,1682.0015869140625,1687.0,1735.0,1648.0,1694.0,12436854
2010-09-03,1733.8470458984375,1739.0,1743.0,1673.0,1688.0,2229569
2010-09-10,1789.6815185546875,1795.0,1808.0,1736.0,1740.0,2012570
2010-09-17,1822.58349609375,1828.0,1863.0,1787.0,1811.0,2172000
2010-09-24,1824.5777587890625,1830.0,1858.0,1782.0,1819.0,2371890
2010-10-01,1826.5714111328125,1832.0,1848.0,1789.0,1824.0,1601967
