Date,adj_close,close,high,low,open,volume
2015-07-06,173.60791015625,174.0,177.0,165.0,167.0,6060058
2015-07-13,195.0594940185547,195.5,196.947998046875,175.89999389648438,177.75,8938641
2015-07-20,188.5740966796875,189.0,198.6849975585937,187.7100067138672,196.5,1358557
2015-07-27,186.3292236328125,186.75,190.5500030517578,185.0,189.75,773496
2015-08-03,207.78073120117188,208.25,210.8500061035156,192.0,192.0,4985525
2015-08-10,206.53358459472656,207.0,211.5500030517578,202.97000122070312,210.0,1893369
2015-08-17,193.3134002685547,193.75,207.8509979248047,178.0,206.5,806890
2015-08-24,214.51551818847656,215.0,218.0,187.25,189.0,1182667
2015-08-31,226.4884796142578,227.0,227.5,210.5,215.0,1549705
2015-09-07,226.4884796142578,227.0,239.0,225.75,228.0,1736679
2015-09-14,204.2886505126953,204.75,232.0,204.75,232.0,2531442
2015-09-21,212.5200653076172,213.0,214.75,205.25,210.75,1137578
2015-09-28,214.51551818847656,215.0,218.75,207.25,212.0,1268080
2015-10-05,231.477294921875,232.0,232.8300018310547,213.0,218.75,1431786
2015-10-12,249.18722534179688,249.75,250.0,226.25,226.25,1381197
2015-10-19,244.44793701171875,245.0,254.1199951171875,230.5200042724609,245.0,1290531
2015-10-26,261.40966796875,262.0,262.0,240.0,245.0,1989701
2015-11-02,278.3713073730469,279.0,299.0,254.875,262.0,1718433
2015-11-09,277.1241149902344,277.75,288.0,259.4800109863281,280.0,922104
2015-11-16,279.11968994140625,279.75,294.0,264.2099914550781,275.0,991224
2015-11-23,232.4750061035156,233.0,276.0,200.0,276.0,4417155
2015-11-30,232.4750061035156,233.0,255.0,227.0200042724609,235.0,2204750
2015-12-07,243.21826171875,243.75,247.0,233.0,237.75,836496
2015-12-14,252.1986083984375,252.75,260.0,240.0,245.0,1856474
2015-12-21,245.46334838867188,246.0,254.5,240.0,251.5,305972
2015-12-28,257.4372253417969,258.0,258.0,245.0,246.0,303086
2016-01-04,245.46334838867188,246.0,257.75,243.0,255.0,598702
2016-01-11,239.4764404296875,240.0,256.0,240.0,243.0,2532466
2016-01-18,221.0167999267578,221.5,241.0,220.0,241.0,1285836
2016-01-25,221.2662811279297,221.75,238.75,202.0800018310547,222.75,862846
2016-02-01,216.27713012695312,216.75,226.0,210.0,226.0,782668
2016-02-08,204.5528259277344,205.0,221.25,195.0,215.75,1065729
2016-02-15,217.5244598388672,218.0,218.0,200.88999938964844,207.0,1349534
2016-02-22,201.5593414306641,202.0,215.875,195.0410003662109,210.0,751213
2016-02-29,198.56593322753903,199.0,202.0,190.0,202.0,703222
2016-03-07,186.34263610839844,186.75,199.0,175.08999633789062,197.0,1386423
2016-03-14,213.533203125,214.0,220.0,187.33999633789065,191.0,2632718
2016-03-21,207.5462646484375,208.0,218.5,207.0,214.0,465915
2016-03-28,188.837142944336,189.25,212.25,185.0,208.0,465791
2016-04-04,190.58335876464844,191.0,197.0,187.0,187.0,673998
2016-04-11,187.0909881591797,187.5,195.0,185.0,186.0,671141
2016-04-18,196.32080078125,196.75,203.0,186.0,193.0,604009
2016-04-25,186.841552734375,187.25,200.0,186.0,196.25,1275069
2016-05-02,185.8436737060547,186.25,194.77999877929688,185.0,187.25,248257
2016-05-09,187.8393402099609,188.25,196.0,185.0,186.0,481091
2016-05-16,187.5899200439453,188.0,195.0,185.0,194.0,188948
2016-05-23,196.5702514648437,197.0,210.25,188.0,188.0,792561
2016-05-30,181.353515625,181.75,210.5,177.0399932861328,197.0,1133706
2016-06-06,166.6356964111328,167.0,189.0,165.35000610351562,189.0,597349
2016-06-13,143.93533325195312,144.25,171.75,143.0,166.5,1135884
2016-06-20,144.68368530273438,145.0,164.25,138.4199981689453,148.0,1096080
2016-06-27,132.4604034423828,132.75,145.5,123.0,144.5,1729271
2016-07-04,149.1738739013672,149.5,150.0,128.1490020751953,135.0,1513106
2016-07-11,154.9113311767578,155.25,160.39500427246094,143.0,143.0,357867
2016-07-18,170.62698364257812,171.0,173.0,153.25,153.25,548369
2016-07-25,169.62913513183594,170.0,175.2790069580078,168.0,170.5,201552
2016-08-01,169.62913513183594,170.0,174.1300048828125,165.25,168.0,551465
2016-08-08,168.3819122314453,168.75,174.0,166.8800048828125,172.25,213228
2016-08-15,167.633544921875,168.0,173.0,166.0,173.0,134677
2016-08-22,169.3796844482422,169.75,174.25999450683594,165.0,170.0,585588
2016-08-29,163.64222717285156,164.0,171.02000427246094,164.0,169.75,291551
2016-09-05,173.37100219726562,173.75,180.0,151.05999755859375,165.0,1337303
2016-09-12,172.6226043701172,173.0,176.5,169.0,174.0,639583
2016-09-19,171.12586975097656,171.5,175.0,169.0,171.25,226589
2016-09-26,173.12149047851562,173.5,179.0,169.0,169.0,473942
2016-10-03,186.887435913086,187.25,194.0,172.8800048828125,179.75,1406105
2016-10-10,187.635986328125,188.0,192.0,185.5,185.5,959559
2016-10-17,189.6321258544922,190.0,192.0,185.0,189.25,295778
2016-10-24,202.60693359375,203.0,204.3350067138672,189.8000030517578,192.0,362890
2016-10-31,202.357421875,202.75,206.75,200.0,202.0,207463
2016-11-07,202.60693359375,203.0,206.75,200.25,203.0,476056
2016-11-14,226.5604248046875,227.0,234.25,202.0249938964844,206.0,572809
2016-11-21,235.54302978515625,236.0,239.0,225.25,230.0,1898976
2016-11-28,211.0904998779297,211.5,225.8800048828125,204.7050018310547,225.0,2917774
2016-12-05,196.6185302734375,197.0,212.9080047607422,190.0,209.5,2027804
2016-12-12,203.62496948242188,204.0,209.0,194.1699981689453,199.0,548978
2016-12-19,204.87266540527344,205.25,212.5,202.0,202.25,190855
2016-12-26,204.1240081787109,204.5,208.0,202.25,205.25,92372
2017-01-02,198.8837127685547,199.25,206.67999267578125,197.8999938964844,204.5,196184
2017-01-09,198.13504028320312,198.5,205.0,198.0,199.0,224973
2017-01-16,203.62496948242188,204.0,205.0,197.0,201.25,339218
2017-01-23,203.62496948242188,204.0,204.0,200.0,202.0,284753
2017-01-30,200.38092041015625,200.75,205.0,199.0,199.0,568892
2017-02-06,206.6194610595703,207.0,207.0,200.9100036621093,204.75,1208248
2017-02-13,204.87266540527344,205.25,208.0,205.0,205.5,325302
2017-02-20,206.6194610595703,207.0,209.44000244140625,203.0,205.75,213990
2017-02-27,212.1093139648437,212.5,220.0,206.43800354003903,210.0,234255
2017-03-06,212.85794067382807,213.25,220.0,210.0,216.75,745283
2017-03-13,226.5826416015625,227.0,227.25,214.25,216.25,1279586
2017-03-20,217.5991973876953,218.0,228.2019958496093,216.3999938964844,227.5,299342
2017-03-27,227.58084106445312,228.0,228.0,217.0,222.0,1216997
2017-04-03,224.5863494873047,225.0,228.0,220.0,220.0,268935
2017-04-10,227.081787109375,227.5,229.8000030517578,223.0,227.5,1741926
2017-04-17,244.54959106445312,245.0,247.0,226.0,227.5,1358838
2017-04-24,242.3037109375,242.75,255.625,241.31500244140625,245.75,1533823
2017-05-01,244.300033569336,244.75,248.0,241.4499969482422,242.75,275196
2017-05-08,249.54039001464844,250.0,250.625,245.98699951171875,247.25,509916
2017-05-15,255.52935791015625,256.0,256.2919921875,248.81300354003903,250.0,424496
2017-05-22,239.5587615966797,240.0,257.5,236.4100036621093,256.25,415990
2017-05-29,240.057861328125,240.5,242.5,215.1499938964844,240.0,1347454
2017-06-05,254.5311889648437,255.0,258.0,239.0,242.0,652557
2017-06-12,250.53854370117188,251.0,260.0,246.8500061035156,252.0,1658627
2017-06-19,281.4815368652344,282.0,293.0,252.75,253.5,327418
