Date,adj_close,close,high,low,open,volume
2010-01-01,629.3968505859375,631.5,646.0,625.5,639.5,8189709
2010-01-08,648.3335571289062,650.5,653.0,628.0,632.5,12082310
2010-01-15,628.4003295898438,630.5,656.0,629.5,648.5,16626315
2010-01-22,628.8984985351562,631.0,640.5,617.5,629.5,14491929
2010-01-29,633.3836669921875,635.5,643.0,626.0,634.0,13618840
2010-02-05,657.8019409179688,660.0,666.5,616.0,632.0,15929480
2010-02-12,657.3036499023438,659.5,668.0,647.0,666.0,14485978
2010-02-19,664.77880859375,667.0,679.5,654.0,657.5,17614601
2010-02-26,689.6953125,692.0,700.0,665.5,667.0,11907410
2010-03-05,675.24365234375,677.5,700.0,673.5,693.5,9729739
2010-03-12,669.7618408203125,672.0,683.0,662.5,679.0,7938672
2010-03-19,677.237060546875,679.5,682.5,665.5,671.5,12162035
2010-03-26,649.8285522460938,652.0,683.0,650.0,679.0,13118505
2010-04-02,672.751953125,675.0,676.5,650.0,652.0,10206921
2010-04-09,691.6885986328125,694.0,694.5,673.0,677.5,11568559
2010-04-16,670.758544921875,673.0,700.5,671.5,693.5,15804567
2010-04-23,676.7957763671875,679.0,688.0,669.5,676.0,16171049
2010-04-30,657.8572387695312,660.0,696.0,645.0,681.5,17232227
2010-05-07,664.8348999023438,667.0,669.5,633.0,646.0,19905935
2010-05-14,635.9287109375,638.0,669.0,633.5,662.0,12700374
2010-05-21,613.5018310546875,615.5,640.0,602.5,636.0,23664885
2010-05-28,639.9157104492188,642.0,648.0,615.0,619.0,14431345
2010-06-04,639.4175415039062,641.5,643.5,621.0,642.5,12226195
2010-06-11,665.3330688476562,667.5,670.5,632.0,644.0,10514156
2010-06-18,644.8995971679688,647.0,675.0,643.0,669.5,10222284
2010-06-25,613.5018310546875,615.5,650.0,612.5,649.0,10258146
2010-07-02,582.1041870117188,584.0,619.0,571.0,619.0,20177422
2010-07-09,611.50830078125,613.5,616.5,586.5,589.5,13885048
2010-07-16,568.1495361328125,570.0,616.5,552.0,616.5,28387902
2010-07-23,549.2112426757812,551.0,571.5,544.5,571.0,20297384
2010-07-30,568.6480102539062,570.5,584.0,548.5,551.0,25223777
2010-08-06,569.6446533203125,571.5,580.5,561.0,574.5,18120513
2010-08-13,571.1397705078125,573.0,582.0,565.5,573.5,12829071
2010-08-20,538.7453002929688,540.5,576.5,535.0,570.5,13695950
2010-08-27,542.2340087890625,544.0,548.0,532.0,540.0,16580206
2010-09-03,547.2176513671875,549.0,557.0,534.5,546.5,22197512
2010-09-10,560.1756591796875,562.0,569.0,547.0,547.0,13655957
2010-09-17,564.6610717773438,566.5,575.5,557.5,565.0,11079987
2010-09-24,578.6156005859375,580.5,586.5,561.0,566.5,12774878
2010-10-01,576.6221313476562,578.5,588.5,574.5,580.5,15996018
2010-10-08,548.7127685546875,550.5,580.0,550.0,578.0,18072198
2010-10-15,564.2003173828125,566.0,574.5,542.5,553.5,19617031
2010-10-22,558.2194213867188,560.0,581.5,558.5,563.5,13781395
2010-10-29,556.7240600585938,558.5,559.5,547.0,558.5,12120515
2010-11-05,586.6287231445312,588.5,601.5,577.0,580.0,19819672
2010-11-12,590.1176147460938,592.0,595.0,578.5,586.5,12031890
2010-11-19,583.638427734375,585.5,596.5,578.5,594.5,7593132
2010-11-26,596.0986938476562,598.0,600.0,579.0,582.5,12817263
2010-12-03,633.9777221679688,636.0,672.0,590.5,596.0,21621287
2010-12-10,655.4093017578125,657.5,659.0,630.5,636.5,12959084
2010-12-17,670.860107421875,673.0,683.5,648.5,657.5,8424006
2010-12-24,677.3394775390625,679.5,686.0,648.0,683.0,2698918
2010-12-31,660.3935546875,662.5,692.0,660.0,677.0,16003507
2011-01-07,682.3235473632812,684.5,739.0,632.5,654.0,76790881
2011-01-14,692.7900390625,695.0,723.5,665.0,700.0,52033845
2011-01-21,693.2883911132812,695.5,708.5,683.5,695.0,14255527
2011-01-28,709.7362060546875,712.0,722.0,691.0,695.5,15357744
2011-02-04,724.688232421875,727.0,730.5,701.5,710.0,20602187
2011-02-11,732.6630249023438,735.0,740.5,713.5,728.0,10736970
2011-02-18,707.7423706054688,710.0,748.5,701.9249877929688,735.5,17336616
2011-02-25,707.7423706054688,710.0,720.0,697.5,709.0,13432333
2011-03-04,716.21533203125,718.5,723.0,704.5,714.0,13089630
2011-03-11,675.8443603515625,678.0,719.5,668.0,714.5,19405371
2011-03-18,680.8284301757812,683.0,692.0,672.0,677.5,13734462
2011-03-25,700.7647094726562,703.0,706.5,686.0,688.5,9365877
2011-04-01,703.2567749023438,705.5,717.5,699.0,705.5,9148127
2011-04-08,682.3235473632812,684.5,708.0,676.0,707.0,11716542
2011-04-15,661.390380859375,663.5,697.5,660.0,684.5,25921938
