Date,adj_close,close,high,low,open,volume
2014-07-14,210.27752685546875,210.5,214.0,209.0,211.0,31649504
2014-07-21,213.2743682861328,213.5,215.0,210.0,211.0,4146712
2014-07-28,209.778060913086,210.0,214.1300048828125,208.0,212.0,3891833
2014-08-04,212.27542114257807,212.5,213.4770050048828,208.0,210.0,2404563
2014-08-11,218.76856994628903,219.0,220.5,211.5,212.5,535918
2014-08-18,226.7600860595703,227.0,230.0,214.0,218.5,476934
2014-08-25,251.23419189453125,251.5,253.5,220.0,227.0,2395597
2014-09-01,270.7135925292969,271.0,275.0,248.0,250.5,1602092
2014-09-08,271.7125549316406,272.0,276.0,263.25,270.25,1140683
2014-09-15,283.6998596191406,284.0,289.75,266.0,268.0,7887546
2014-09-22,281.70196533203125,282.0,288.0,275.0,278.5,1763492
2014-09-29,284.69879150390625,285.0,300.20001220703125,279.6000061035156,281.0,1444087
2014-10-06,282.3013610839844,282.6000061035156,287.0,281.29998779296875,285.0,911096
2014-10-13,278.8050842285156,279.1000061035156,284.1000061035156,255.0,282.0,1261478
2014-10-20,277.70623779296875,278.0,280.0,268.0,280.0,438717
2014-10-27,279.7041015625,280.0,282.0,268.3999938964844,277.5,1755054
2014-11-03,317.1644592285156,317.5,326.0,275.5,280.0,1915058
2014-11-10,320.56085205078125,320.8999938964844,329.0,315.0,315.0,1464818
2014-11-17,330.15069580078125,330.5,336.3999938964844,313.0,314.20001220703125,3244880
2014-11-24,313.6680908203125,314.0,342.0,304.3999938964844,325.0,4571594
2014-12-01,335.1454162597656,335.5,340.0,311.70001220703125,312.6000061035156,1133487
2014-12-08,328.2527160644531,328.6000061035156,338.0,324.0,331.20001220703125,928075
2014-12-15,347.1326599121094,347.5,352.0,310.0,325.6000061035156,2557553
2014-12-22,349.4302978515625,349.79998779296875,353.5929870605469,338.3999938964844,342.0,234211
2014-12-29,373.1052551269531,373.5,389.1499938964844,345.0,345.0,1005058
2015-01-05,357.7215576171875,358.1000061035156,372.8370056152344,345.10699462890625,369.1000061035156,796277
2015-01-12,317.6639404296875,318.0,360.0,311.2900085449219,360.0,7229690
2015-01-19,323.6576232910156,324.0,334.3999938964844,318.0,320.0,3621580
2015-01-26,320.6607666015625,321.0,327.5,306.70001220703125,319.70001220703125,2196469
2015-02-02,316.6649475097656,317.0,324.5,315.0,320.5,878034
2015-02-09,316.5650939941406,316.8999938964844,321.1000061035156,295.29998779296875,320.20001220703125,2105728
2015-02-16,312.3695373535156,312.70001220703125,318.1000061035156,307.0,313.0,822252
2015-02-23,315.66607666015625,316.0,326.0,307.79998779296875,310.1000061035156,1826538
2015-03-02,324.656494140625,325.0,325.0,312.79998779296875,317.5,1739697
2015-03-09,329.6512451171875,330.0,337.3999938964844,318.6000061035156,319.79998779296875,1050953
2015-03-16,382.59521484375,383.0,383.0,325.3999938964844,334.70001220703125,1556565
2015-03-23,357.3219909667969,357.70001220703125,392.7999877929688,347.635986328125,375.7999877929688,2751405
2015-03-30,373.1052551269531,373.5,375.0,356.3999938964844,356.3999938964844,3361587
2015-04-06,371.60687255859375,372.0,381.3999938964844,369.5,373.5,1631050
2015-04-13,319.6617736816406,320.0,374.6099853515625,319.3999938964844,372.0,11176150
2015-04-20,319.6617736816406,320.0,326.8590087890625,307.29998779296875,319.0,8489786
2015-04-27,326.2548217773437,326.6000061035156,331.8999938964844,313.8999938964844,322.6000061035156,2694642
