Date,adj_close,close,high,low,open,volume
2010-01-04,89634.1484375,100449.7734375,101199.3984375,75712.140625,75712.140625,484
2010-01-11,88296.3203125,98950.5234375,110944.53125,98950.5234375,101949.0234375,1428
2010-01-18,82276.109375,92203.8984375,101949.0234375,89955.0234375,99700.1484375,1151
2010-01-25,79600.4609375,89205.3984375,92203.8984375,85457.2734375,90704.6484375,903
2010-02-01,76255.90625,85457.2734375,93703.1484375,84707.6484375,91454.2734375,579
2010-02-08,74918.0859375,83958.0234375,87706.1484375,80959.5234375,87706.1484375,342
2010-02-15,80938.2890625,90704.6484375,94452.7734375,81709.1484375,83208.3984375,657
2010-02-22,78262.625,87706.1484375,92953.5234375,84707.6484375,91454.2734375,264
2010-03-01,82276.109375,92203.8984375,92203.8984375,86206.8984375,88455.7734375,769
2010-03-08,76255.90625,85457.2734375,92203.8984375,83958.0234375,92203.8984375,907
2010-03-15,75586.9921875,84707.6484375,85457.2734375,83208.3984375,84707.6484375,404
2010-03-22,78931.5546875,88455.7734375,89205.3984375,83208.3984375,84707.6484375,846
2010-03-29,76255.90625,85457.2734375,89205.3984375,57.0,88455.7734375,378
2010-04-05,78931.5546875,88455.7734375,89205.3984375,84707.6484375,85457.2734375,427
2010-04-12,82945.015625,92953.5234375,95202.3984375,86956.5234375,88455.7734375,976
2010-04-19,83613.9375,93703.1484375,95202.3984375,90704.6484375,92953.5234375,553
2010-04-26,81607.203125,91454.2734375,97451.2734375,90704.6484375,93703.1484375,606
2010-05-03,61539.84765625,68965.515625,89955.0234375,68965.515625,89955.0234375,1253
2010-05-10,64884.4140625,72713.640625,78710.6484375,71214.390625,72713.640625,595
2010-05-17,61138.5,68515.7421875,73613.1953125,64467.765625,73613.1953125,678
2010-05-24,63279.0390625,70914.5390625,73613.1953125,61769.1171875,68515.7421875,693
2010-05-31,61941.19140625,69415.2890625,76461.765625,66866.5703125,70464.765625,690
2010-06-07,61018.109375,68380.8125,69415.2890625,65217.390625,67766.1171875,553
2010-06-14,65553.3203125,73463.265625,73478.2578125,68890.5546875,68890.5546875,724
2010-06-21,64764.0078125,72578.7109375,78410.796875,71679.1640625,74212.890625,713
2010-06-28,61874.3125,69340.328125,73463.265625,67466.265625,71139.4296875,771
2010-07-05,64496.4375,72278.859375,74212.890625,68215.890625,68215.890625,624
2010-07-12,62877.68359375,70464.765625,73478.2578125,70464.765625,71244.375,224
2010-07-19,62034.859375,69520.2421875,70269.8671875,66461.765625,69370.3125,247
2010-07-26,61339.1875,68740.6328125,70314.84375,67616.1953125,69370.3125,338
2010-08-02,60964.59375,68320.8359375,69640.1796875,68215.890625,68230.8828125,377
2010-08-09,57807.328125,64782.609375,69115.4453125,64632.68359375,69115.4453125,290
2010-08-16,59212.0546875,66356.8203125,67466.265625,63418.2890625,64842.578125,576
2010-08-23,56188.5625,62968.515625,66716.640625,62203.8984375,66716.640625,428
2010-08-30,56670.1875,63508.24609375,64092.953125,61169.4140625,63718.140625,431
2010-09-06,54128.3203125,60659.671875,65067.46484375,60359.8203125,63718.140625,330
2010-09-13,56991.2578125,63868.06640625,66386.8046875,58860.5703125,59985.0078125,825
2010-09-20,54048.05859375,60569.71484375,64317.83984375,60119.94140625,63883.05859375,495
2010-09-27,54489.52734375,61064.46875,61814.09375,59190.40625,60569.71484375,445
