Ticker,Name,Type,Platform,Currency,Status,Backtest State,Price,Target Price,Prudent Target,Prudent Upside %,Target Status,Priority,Priority Score,1D %,Golden,Silver,Silver Window,Breakout Level,Entry Zone,Zone Edge,Zone Win Rate %,Weekly RSI,Daily RSI,Weekly MACD Slope,Daily MACD Slope,Blocker,Trades,Win Rate %,Win Rate last 3 Years,Median Return %,Compounded Return %,Latest Exit Reason
1T4.F,Torm,stock,Revolut,Euro,BUY,ARMED,23.90,27.95,26.83,12.3%,Moderate,⭐⭐,6,5.01%,ON,VALID,OFF,22.76,Normal Range,1,68.2%,64.3,56.5,0.088,0.084,,46,69.6%,55.6%,10.13%,39730741.99%,TRAILING_STOP
EVK.DE,Evonik,stock,Revolut,Euro,BUY,IN_POS,14.70,17.13,16.44,11.9%,Moderate,⭐⭐,6,2.87%,ON,VALID,OPEN,,Normal Range,0,68.2%,50.9,55.1,0.065,0.038,,46,63.0%,69.2%,2.02%,788.10%,BACKTEST_END
MEL.MC,Melia Hotels,stock,Revolut,Euro,BUY,IN_POS,9.31,11.15,10.70,15.0%,Moderate,⭐,4,0.49%,ON,VALID,OFF,,Extended,2,87.5%,72.8,69.6,0.072,0.022,,45,68.9%,81.8%,4.32%,2948.26%,BACKTEST_END
XYZ,XYZ,stock,Revolut,USD,BUY,IN_POS,59.89,76.20,73.15,22.1%,Attractive,⭐⭐⭐,12,-2.09%,ON,VALID,OPEN,,Lower Quartile,2,71.4%,46.0,49.3,0.079,-0.061,,25,76.0%,70.0%,12.96%,5699.11%,BACKTEST_END
INTU,Intuit,stock,Revolut,USD,IN_POS,IN_POS,432.45,636.28,610.83,41.2%,Attractive,⭐⭐⭐,10,-5.38%,ON,NO,OFF,,Lower Quartile,0,63.6%,38.1,44.7,1.830,-1.336,Lower-low still forming (price still breaking down),42,78.6%,63.6%,7.06%,3370.53%,BACKTEST_END
REP.MC,Repsol,stock,Revolut,Euro,IN_POS,IN_POS,23.47,28.94,27.78,18.4%,Moderate,⭐,3,3.44%,ON,NO,OFF,,Extended,0,50.0%,79.3,66.6,0.194,-0.066,,48,58.3%,72.7%,3.19%,1261.89%,BACKTEST_END
ROP,Roper Technologies,stock,Revolut,USD,IN_POS,IN_POS,345.93,460.58,442.16,27.8%,Attractive,⭐⭐⭐,11,-2.14%,ON,NO,OFF,,Lower Quartile,2,72.7%,34.7,41.6,1.022,-0.390,Lower-low still forming (price still breaking down),42,66.7%,44.4%,2.74%,925.59%,BACKTEST_END
ZAL.DE,Zalando SE,stock,Revolut,Euro,IN_POS,IN_POS,21.34,34.87,33.48,56.9%,Attractive,⭐⭐⭐,11,0.57%,ON,NO,OFF,,Lower Quartile,2,87.5%,41.6,47.2,0.002,-0.069,,29,69.0%,62.5%,8.41%,2604.56%,BACKTEST_END
BPCR.L,BioPharma Credit,stock,Moneybase,GBP,WATCH,IN_POS,0.93,0.98,0.94,1.2%,Near Target,⭐,2,0.00%,ON,NO,OFF,,Lower Quartile,-2,20.0%,53.9,48.0,-0.001,-0.000,Lower-low still forming (price still breaking down),17,47.1%,54.5%,0.00%,17.26%,BACKTEST_END
CA.PA,CA,stock,Revolut,Euro,WATCH,IN_POS,15.33,20.28,19.47,27.0%,Attractive,⭐⭐⭐,14,2.17%,ON,NO,OFF,,Lower Quartile,1,75.0%,60.2,50.6,-0.012,-0.010,,61,75.4%,93.3%,2.46%,1674.27%,BACKTEST_END
DTE.DE,Deutsche Telekom AG,stock,Revolut,Euro,WATCH,WATCH,32.44,39.32,37.75,16.4%,Moderate,⭐⭐⭐,12,2.85%,ON,NO,OPEN,,Lower Quartile,1,86.7%,59.1,52.1,0.043,-0.017,,59,69.5%,81.8%,2.48%,2030.04%,TRAILING_STOP
