Ticker,Name,Type,Platform,Currency,Status,Backtest State,Price,Target Price,Prudent Target,Prudent Upside %,Target Status,Priority,Priority Score,Opportunity Score,1D %,Golden,Silver,Silver Window,Breakout Level,Entry Zone,Zone Edge,Zone Win Rate %,Weekly RSI,Daily RSI,Weekly MACD Slope,Daily MACD Slope,Blocker,Trades,Win Rate %,Win Rate last 3 Years,Median Return %,Compounded Return %,Latest Exit Reason,Cycle Age %,Cycle Stage,Cycle Win Rate 3Y,Cycle Confidence %,Cycle Median Return 3Y,Cycle Edge
1T4.F,Torm,stock,Revolut,Euro,BUY,IN_POS,24.00,27.95,26.83,11.8%,Moderate,⭐⭐,74,74,0.42%,ON,VALID,OFF,,Normal Range,1,69.6%,64.6,57.1,0.096,0.056,,47,70.2%,60.0%,7.93%,41895339.29%,BACKTEST_END,19%,Fresh,66.7%,66.7%,14.79%,Mid OK
BPCR.L,BioPharma Credit,stock,Moneybase,GBP,BUY,IN_POS,0.94,0.98,0.94,-0.1%,Above Target,,17,17,0.00%,ON,VALID,OFF,,Normal Range,0,57.1%,57.8,53.5,0.000,0.001,,17,52.9%,63.6%,0.47%,18.78%,BACKTEST_END,95%,Late,63.6%,12.7%,0.70%,Late Risk
CA.PA,CA,stock,Revolut,Euro,BUY,IN_POS,15.55,20.28,19.47,25.2%,Attractive,⭐,38,38,0.91%,ON,VALID,OFF,,Normal Range,1,79.3%,61.8,54.9,0.006,0.009,,61,77.0%,100.0%,2.46%,1699.73%,BACKTEST_END,71%,Mature,100.0%,40.0%,2.98%,Mid OK
EVK.DE,Evonik,stock,Revolut,Euro,IN_POS,IN_POS,15.59,17.13,16.44,5.5%,Near Target,⭐⭐,56,56,1.76%,ON,VALID,OFF,,Extended,0,50.0%,56.1,64.6,0.136,0.083,,46,63.0%,69.2%,2.52%,841.86%,BACKTEST_END,26%,Mid,69.2%,69.2%,5.11%,Mid OK
INTU,Intuit,stock,Revolut,USD,IN_POS,IN_POS,432.55,636.28,610.83,41.2%,Attractive,⭐,51,51,1.33%,ON,NO,OFF,,Lower Quartile,0,63.6%,38.1,45.3,1.838,-0.680,,42,78.6%,63.6%,7.06%,3371.34%,BACKTEST_END,44%,Mid,58.2%,49.5%,0.69%,Mid OK
MEL.MC,Melia Hotels,stock,Revolut,Euro,IN_POS,IN_POS,9.60,11.15,10.70,11.5%,Moderate,,21,21,-0.10%,ON,VALID,OFF,,Extended,2,87.5%,75.1,73.1,0.096,0.024,,45,68.9%,81.8%,4.32%,3044.90%,BACKTEST_END,110%,Late,81.8%,16.4%,6.95%,Exhausted
ROP,Roper Technologies,stock,Revolut,USD,IN_POS,IN_POS,351.07,460.58,442.16,25.9%,Attractive,,19,19,1.25%,ON,VALID,OFF,,Lower Quartile,2,72.7%,36.0,47.0,1.432,0.213,,42,66.7%,44.4%,3.29%,940.83%,BACKTEST_END,56%,Mature,44.4%,28.9%,-1.18%,Late Risk
VUAA.MI,Vanguard S&P 500 UCITS ETF USD Accumulation,etf,Revolut,Euro,IN_POS,WAIT,108.88,,,,No Target,⭐⭐,5,5,,,NO,,,ETF Pullback,,77.8%,,35.1,,-0.320,"drawdown_macd_turn, rsi14=35.10, rsi_sup=59.10, dd20=0.042, dd_th=0.019",22,77.8%,77.8%,13.82%,16.59%,"drawdown_macd_turn, rsi14=35.10, rsi_sup=59.10, dd20=0.042, dd_th=0.019",,,,,,
DTE.DE,Deutsche Telekom AG,stock,Revolut,Euro,WATCH,WATCH,31.95,39.32,37.75,18.1%,Moderate,⭐⭐⭐,96,96,-1.14%,ON,NO,OPEN,,Lower Quartile,1,86.7%,57.4,47.9,0.004,-0.052,,59,69.5%,81.8%,2.48%,2030.04%,TRAILING_STOP,11%,Fresh,88.9%,88.9%,14.13%,Early Edge
GNN.F,GN Store Nord,stock,Revolut,Euro,WATCH,WATCH,12.56,16.28,15.63,24.4%,Attractive,⭐⭐⭐,87,87,1.13%,ON,NO,OFF,,Lower Quartile,1,75.0%,43.8,48.4,0.004,-0.004,Lower-low still forming (price still breaking down),47,74.5%,69.2%,5.21%,7979.70%,HARD_STOP_FROM_ENTRY,10%,Fresh,77.8%,77.8%,5.83%,Early Edge
