Ticker,Name,Type,Platform,Currency,Status,Backtest State,Price,Target Price,Prudent Target,Prudent Upside %,Target Status,Priority,Priority Score,Opportunity Score,1D %,Golden,Silver,Silver Window,Breakout Level,Entry Zone,Zone Edge,Zone Win Rate %,Weekly RSI,Daily RSI,Weekly MACD Slope,Daily MACD Slope,Drawdown Overshoot,Blocker,Trades,Win Rate %,Win Rate last 3 Years,Median Return %,Compounded Return %,Latest Exit Reason,Cycle Age %,Cycle Stage,Cycle Win Rate 3Y,Cycle Confidence %,Cycle Median Return 3Y,Cycle Edge
1T4.F,Torm,stock,Revolut,Euro,BUY,IN_POS,23.87,27.95,26.83,12.4%,Moderate,⭐⭐,68,68,1.57%,ON,VALID,OFF,,Normal Range,1,69.6%,63.2,55.7,0.056,0.028,,,47,70.2%,60.0%,7.93%,41668407.12%,BACKTEST_END,33%,Mid,68.0%,57.8%,9.67%,Mid OK
AKE.PA,Arkema,stock,Revolut,Euro,BUY,IN_POS,58.30,65.36,62.75,7.6%,Near Target,⭐⭐,76,76,0.17%,ON,VALID,OPEN,,Normal Range,0,57.1%,52.8,57.1,0.312,0.302,,,45,62.2%,72.7%,2.04%,1684.32%,BACKTEST_END,14%,Fresh,75.0%,75.0%,6.89%,Early Edge
AKE.PA,AKE,stock,Revolut,Euro,BUY,IN_POS,58.30,65.34,62.73,7.6%,Near Target,⭐⭐,76,76,0.17%,ON,VALID,OPEN,,Normal Range,0,57.1%,52.8,57.1,0.312,0.302,,,45,62.2%,72.7%,2.04%,1684.32%,BACKTEST_END,14%,Fresh,75.0%,75.0%,6.89%,Early Edge
CA.PA,CA,stock,Revolut,Euro,BUY,IN_POS,15.62,20.28,19.47,24.6%,Attractive,,24,24,1.89%,ON,VALID,OFF,,Normal Range,1,79.3%,60.3,55.7,-0.011,0.014,,,61,77.0%,100.0%,2.46%,1708.41%,BACKTEST_END,80%,Late,100.0%,40.0%,3.53%,Late Risk
EVK.DE,Evonik,stock,Revolut,Euro,BUY,IN_POS,16.72,17.13,16.44,-1.6%,Above Target,⭐,52,52,1.77%,ON,VALID,OFF,,Extended,0,50.0%,60.2,72.9,0.203,0.122,,,46,63.0%,69.2%,2.52%,910.13%,BACKTEST_END,33%,Mid,69.2%,58.8%,5.11%,Mid OK
ROP,Roper Technologies,stock,Revolut,USD,BUY,IN_POS,352.39,460.58,442.16,25.5%,Attractive,,19,19,2.31%,ON,VALID,OFF,,Lower Quartile,2,72.7%,38.1,49.2,1.644,0.409,,,42,66.7%,44.4%,3.29%,944.74%,BACKTEST_END,60%,Mature,44.4%,28.9%,-1.18%,Late Risk
IQQY.DE,iShares Core MSCI Europe UCITS ETF EUR,etf,Revolut,Euro,PRIMED,PRIMED,36.15,,,,No Target,⭐⭐,7,7,,,PRIMED,,,ETF Pullback,,76.4%,,40.7,,-0.083,3.2x [strong],,60,76.4%,76.4%,12.74%,11.05%,"drawdown_macd_turn, rsi14=40.69, rsi_sup=56.61, dd20=0.066, dd_th=0.020, bullish_day, macd_improving, awaiting_macd_cross",,,,,,
XMEU.DE,Xtrackers MSCI Europe UCITS ETF 1C,etf,Revolut,Euro,PRIMED,PRIMED,105.76,,,,No Target,⭐⭐⭐,8,8,,,PRIMED,,,ETF Pullback,,83.0%,,40.9,,-0.265,2.92x [strong],,58,83.0%,83.0%,15.59%,14.39%,"drawdown_macd_turn, rsi14=40.91, rsi_sup=56.82, dd20=0.064, dd_th=0.022, bullish_day, macd_improving, awaiting_macd_cross",,,,,,
VUAA.MI,Vanguard S&P 500 UCITS ETF USD Accumulation,etf,Revolut,Euro,IN_POS,WAIT,107.68,,,,No Target,⭐⭐,5,5,,,NO,,,ETF Pullback,,77.8%,,32.5,,-0.415,2.65x [strong],"drawdown_macd_turn, rsi14=32.46, rsi_sup=58.99, dd20=0.052, dd_th=0.020, bullish_day",22,77.8%,77.8%,13.82%,16.59%,"drawdown_macd_turn, rsi14=32.46, rsi_sup=58.99, dd20=0.052, dd_th=0.020, bullish_day",,,,,,
BPCR.L,BioPharma Credit,stock,Moneybase,GBP,WATCH,IN_POS,0.93,0.98,0.94,0.7%,Near Target,,17,17,-0.43%,ON,NO,OFF,,Lower Quartile,-2,20.0%,56.6,49.3,-0.000,-0.000,,Lower-low still forming (price still breaking down),17,52.9%,63.6%,0.21%,17.77%,BACKTEST_END,100%,Late,63.6%,12.7%,0.47%,Late Risk
FISV,Fiserv,stock,Revolut,USD,WATCH,WATCH,54.89,96.40,92.54,68.6%,Attractive,⭐⭐,67,67,1.84%,ON,NO,OFF,,Lower Quartile,0,66.7%,27.4,36.6,0.283,-0.032,,,45,77.8%,57.1%,7.59%,1750.36%,HARD_STOP_FROM_ENTRY,0%,Fresh,57.1%,57.1%,7.34%,Mid OK
