Ticker,Name,Type,Platform,Currency,Status,Backtest State,Price,Target Price,Prudent Target,Prudent Upside %,Target Status,Priority,Priority Score,Opportunity Score,1D %,Golden,Silver,Silver Window,Breakout Level,Entry Zone,Zone Edge,Zone Win Rate %,Weekly RSI,Daily RSI,Weekly MACD Slope,Daily MACD Slope,Drawdown Overshoot,Blocker,Trades,Win Rate %,Win Rate last 3 Years,Median Return %,Compounded Return %,Latest Exit Reason,Strategy Used,Cycle Age %,Cycle Stage,Cycle Win Rate 3Y,Cycle Confidence %,Cycle Median Return 3Y,Cycle Edge
0B2.F,Bawag,stock,Revolut,Euro,BUY,IN_POS,133.40,107.02,102.74,-23.0%,Above Target,⭐⭐⭐,85,85,2.38%,ON,VALID,OPEN,,Normal Range,0,60.0%,60.5,58.7,0.197,0.502,,,22,72.7%,77.8%,7.46%,1174.70%,TRAILING_STOP,S3_HOLD16_BUF,5%,Fresh,87.5%,87.5%,17.80%,Early Edge
AKE.PA,Arkema,stock,Revolut,Euro,BUY,IN_POS,59.05,62.11,59.63,1.0%,Near Target,,39,39,1.29%,ON,VALID,OPEN,,Normal Range,1,72.4%,53.7,59.0,0.316,0.247,,,59,69.5%,64.3%,2.04%,2498.52%,BACKTEST_END,S1_FAST,36%,Mid,51.4%,43.7%,1.72%,Mid OK
HNR1.DE,Hannover Rueckversicherung SE,stock,Revolut,Euro,BUY,IN_POS,266.60,332.48,319.18,19.7%,Moderate,⭐,58,58,-0.45%,ON,VALID,OPEN,,Normal Range,1,68.8%,57.3,60.4,1.026,0.249,,,34,67.6%,75.0%,6.12%,1795.94%,BACKTEST_END,S5_COMBO_BUF,62%,Mature,75.0%,48.8%,6.23%,Mid OK
IQQY.DE,iShares Core MSCI Europe UCITS ETF EUR,etf,Revolut,Euro,BUY,BUY,36.29,,,,No Target,⭐⭐⭐,9,9,,,BUY,,,ETF Pullback,,71.9%,,42.5,,-0.041,2.23x [moderate],,63,71.9%,71.9%,11.90%,10.11%,"drawdown_macd_turn, rsi14=42.51, rsi_sup=56.56, dd20=0.046, dd_th=0.021, bullish_day, macd_improving, buy_window_open",,,,,,,
MEL.MC,Melia Hotels,stock,Revolut,Euro,BUY,IN_POS,9.92,13.47,12.93,30.4%,Attractive,⭐⭐⭐,80,80,3.66%,ON,VALID,OFF,,Extended,1,88.9%,77.3,74.7,0.099,0.026,,,40,67.5%,80.0%,3.07%,3584.11%,BACKTEST_END,S5_COMBO,34%,Mid,80.0%,68.0%,4.94%,Early Edge
NEXI.MI,Nexi,stock,Revolut,Euro,BUY,IN_POS,3.30,4.05,3.89,17.7%,Moderate,⭐⭐⭐,78,78,3.90%,ON,VALID,OPEN,,Upper Quartile,0,100.0%,41.5,60.5,0.033,0.026,,,21,61.9%,64.3%,3.81%,143.97%,BACKTEST_END,S1_FAST,11%,Fresh,70.0%,70.0%,3.64%,Early Edge
PIRC.MI,Pirelli & C,stock,Revolut,Euro,BUY,IN_POS,6.01,8.48,8.14,35.4%,Attractive,⭐⭐,71,71,1.86%,ON,VALID,OFF,,Normal Range,0,50.0%,49.7,55.0,0.001,0.020,,,18,66.7%,66.7%,3.27%,188.78%,BACKTEST_END,S5_COMBO,7%,Fresh,62.5%,62.5%,6.73%,Mid OK
PRY.MI,Prysmian,stock,Revolut,Euro,BUY,ARMED,104.65,99.00,95.04,-9.2%,Above Target,⭐⭐,75,75,5.94%,ON,VALID,OPEN,99.54,Upper Quartile,1,62.5%,65.7,61.1,0.337,0.687,,,61,80.3%,78.6%,5.42%,10985.15%,RSI_BAND_DROP,S8_DI_GUARD,11%,Fresh,90.9%,90.9%,5.93%,Early Edge
SAN.PA,SAN,stock,Revolut,Euro,BUY,IN_POS,82.87,115.90,111.26,34.3%,Attractive,⭐⭐⭐,95,95,0.18%,ON,VALID,OPEN,,Extended,1,80.0%,51.6,66.5,0.370,0.192,,,65,78.5%,81.8%,3.00%,1706.49%,TRAILING_STOP,S1_FAST,12%,Fresh,100.0%,100.0%,8.33%,Early Edge
SCR.PA,SCOR SE,stock,Revolut,Euro,BUY,IN_POS,30.68,3.36,3.23,-89.5%,Above Target,,16,16,0.39%,ON,VALID,OPEN,,Normal Range,1,60.9%,59.4,57.1,0.058,0.002,,,47,57.4%,75.0%,2.34%,1811.61%,BACKTEST_END,S5_COMBO_BUF,220%,Late,75.0%,15.0%,13.56%,Exhausted
TEF.MC,Telefonica,stock,Revolut,Euro,BUY,IN_POS,3.81,4.79,4.60,20.8%,Attractive,⭐,51,51,0.29%,ON,VALID,OPEN,,Normal Range,0,68.8%,51.0,61.3,0.024,0.007,,,64,70.3%,100.0%,3.22%,892.32%,BACKTEST_END,S8_DI_GUARD,61%,Mature,100.0%,65.0%,5.22%,Mid OK
WDH1.HA,Dermant AS,stock,Revolut,Euro,BUY,IN_POS,26.10,33.70,32.35,24.0%,Attractive,⭐⭐⭐,85,85,0.62%,ON,VALID,OPEN,,Normal Range,2,100.0%,43.5,58.2,0.136,0.116,,,9,66.7%,66.7%,1.14%,31.39%,BACKTEST_END,S1_FAST,14%,Fresh,80.0%,80.0%,1.14%,Early Edge
XMEU.DE,Xtrackers MSCI Europe UCITS ETF 1C,etf,Revolut,Euro,BUY,BUY,106.04,,,,No Target,⭐⭐⭐,10,10,,,BUY,,,ETF Pullback,,80.7%,,42.1,,-0.146,2.07x [moderate],,62,80.7%,80.7%,15.12%,13.18%,"drawdown_macd_turn, rsi14=42.07, rsi_sup=56.77, dd20=0.046, dd_th=0.022, bullish_day, macd_improving, buy_window_open",,,,,,,
BPCR.L,Quilter,stock,Moneybase,GBP,BLOCKED,IN_POS,0.94,2.22,2.13,126.7%,Attractive,,32,32,0.86%,ON,VALID,OFF,,Normal Range,-2,28.6%,57.1,52.6,0.000,0.000,,Lower-low still forming (price still breaking down),17,41.2%,50.0%,-0.63%,6.36%,BACKTEST_END,S5_COMBO,49%,Mid,50.0%,42.5%,-0.08%,Late Risk
