Ticker,Name,Type,Platform,Currency,Status,Backtest State,Price,Target Price,Prudent Target,Prudent Upside %,Target Status,Priority,Priority Score,Opportunity Score,1D %,Golden,Silver,Silver Window,Breakout Level,Entry Zone,Zone Edge,Zone Win Rate %,Weekly RSI,Daily RSI,Weekly MACD Slope,Daily MACD Slope,Drawdown Overshoot,Blocker,Trades,Win Rate %,Win Rate last 3 Years,Median Return %,Compounded Return %,Latest Exit Reason,Strategy Used,Decision Window,4Y Strategy Return %,3Y Strategy Return %,Recent Strategy Health,Broken,Cycle Age %,Cycle Stage,Cycle Win Rate 3Y,Cycle Confidence %,Cycle Median Return 3Y,Cycle Edge
0B2.F,Bawag,stock,Revolut,Euro,BUY,IN_POS,132.10,107.02,102.74,-22.2%,Above Target,⭐⭐⭐,85,85,-0.97%,ON,VALID,OPEN,,Normal Range,1,71.4%,59.5,56.2,0.093,0.288,,,17,70.6%,71.4%,6.24%,390.52%,BACKTEST_END,S5_COMBO,4Y,137.8%,63.4%,OK,,14%,Fresh,80.0%,80.0%,21.07%,Early Edge
AMD,AMD,stock,Revolut,USD,BUY,IN_POS,220.18,225.27,216.26,-1.8%,Above Target,⭐,59,59,1.23%,ON,VALID,OFF,,Normal Range,1,63.2%,56.3,59.0,1.301,1.083,,,41,70.7%,88.9%,11.18%,476437.92%,BACKTEST_END,S2_HOLD12_BUF,4Y,98.5%,11.6%,OK,,40%,Mid,93.3%,79.3%,13.93%,Mid OK
BRBY.L,Vistry Group,stock,Moneybase,GBP,BUY,IN_POS,10.91,5.81,5.58,-48.9%,Above Target,,20,20,-0.64%,ON,VALID,OPEN,,Lower Quartile,0,50.0%,46.9,51.6,3.708,3.551,,,61,68.9%,50.0%,4.66%,3754.72%,BACKTEST_END,S8_DI_GUARD_BUF,3Y,46.1%,63.3%,OK,,29%,Mid,40.0%,40.0%,-1.39%,Late Risk
HNR1.DE,Hannover Rueckversicherung SE,stock,Revolut,Euro,BUY,IN_POS,269.80,332.48,319.18,18.3%,Moderate,,28,28,1.20%,ON,VALID,OPEN,,Extended,2,71.4%,58.9,63.2,1.281,0.411,,,45,77.8%,90.0%,6.76%,2204.90%,BACKTEST_END,S2_HOLD12,4Y,8.6%,1.4%,OK,,90%,Late,90.0%,18.0%,6.05%,Late Risk
IHG.L,3I Group,stock,Moneybase,GBP,BUY,ARMED,1.34,31.74,30.47,2169.7%,Attractive,⭐⭐,71,71,1.21%,ON,VALID,OPEN,136.65,Lower Quartile,0,55.6%,51.5,52.8,0.144,0.338,,,36,66.7%,71.4%,2.26%,1394.18%,TRAILING_STOP,S5_COMBO_BUF,4Y,71.3%,22.5%,OK,,10%,Fresh,66.7%,66.7%,5.02%,Mid OK
MEL.MC,Melia Hotels,stock,Revolut,Euro,BUY,IN_POS,9.96,13.47,12.93,29.8%,Attractive,,25,25,0.40%,ON,VALID,OFF,,Extended,2,100.0%,77.6,75.2,0.102,0.018,,,54,70.4%,78.6%,5.18%,5382.56%,BACKTEST_END,S8_DI_GUARD_BUF,4Y,71.5%,34.5%,OK,,183%,Late,78.6%,15.7%,6.56%,Exhausted
NEXI.MI,Nexi,stock,Revolut,Euro,BUY,IN_POS,3.30,4.05,3.89,17.7%,Moderate,⭐,54,54,-0.06%,ON,VALID,OPEN,,Upper Quartile,0,100.0%,41.4,60.4,0.033,0.021,,,21,61.9%,64.3%,3.81%,143.82%,BACKTEST_END,S1_FAST,4Y,-24.9%,-28.0%,BROKEN,YES,29%,Mid,51.4%,51.4%,2.40%,Mid OK
ORCL,Oracle,stock,Revolut,USD,BUY,ARMED,145.54,175.86,168.83,16.0%,Moderate,⭐⭐⭐,82,82,-0.57%,ON,VALID,OFF,153.90,Lower Quartile,1,75.0%,39.6,44.7,0.684,0.156,,,61,73.8%,76.9%,4.85%,3397.21%,TREND_BREAK_MA40_TWO_NEG_SLOPE,S1_FAST,4Y,88.5%,43.8%,OK,,23%,Fresh,85.7%,85.7%,6.83%,Early Edge
PRY.MI,Prysmian,stock,Revolut,Euro,BUY,IN_POS,104.70,99.00,95.04,-9.2%,Above Target,,13,13,0.05%,ON,VALID,OPEN,,Extended,1,50.0%,65.7,61.1,0.341,0.544,,,43,65.1%,62.5%,4.10%,5404.03%,BACKTEST_END,S5_COMBO_BUF,4Y,169.6%,71.3%,OK,,141%,Late,62.5%,12.5%,2.26%,Exhausted
PUIG.MC,Puig Brands,stock,Revolut,Euro,BUY,IN_POS,17.50,21.91,21.03,20.2%,Attractive,⭐⭐⭐,95,95,0.98%,ON,VALID,OFF,,Limited history,0,,63.9,62.6,0.058,0.042,,,2,100.0%,100.0%,9.05%,18.91%,BACKTEST_END,S0_BASE,FULL,,,,,15%,Fresh,100.0%,100.0%,9.05%,Early Edge
TEF.MC,Telefonica,stock,Revolut,Euro,BUY,IN_POS,3.85,4.79,4.60,19.3%,Moderate,,24,24,1.26%,ON,VALID,OPEN,,Extended,1,84.6%,52.5,63.9,0.027,0.009,,,69,75.4%,92.9%,3.63%,1677.86%,BACKTEST_END,S11_VOLATILE_FAST,3Y,7.4%,11.6%,OK,,138%,Late,92.9%,18.6%,5.20%,Exhausted
WDH1.HA,Dermant AS,stock,Revolut,Euro,BUY,IN_POS,25.90,33.70,32.35,24.9%,Attractive,⭐,55,55,-0.77%,ON,VALID,OPEN,,Normal Range,1,75.0%,42.8,56.3,0.120,0.076,,,10,80.0%,80.0%,2.35%,83.04%,BACKTEST_END,S8_DI_GUARD_BUF,4Y,13.6%,-9.8%,OK,,38%,Mid,68.0%,57.8%,2.55%,Mid OK
EVK.DE,Evonik,stock,Revolut,Euro,BLOCKED,IN_POS,16.57,8.35,8.02,-51.6%,Above Target,,29,29,1.28%,ON,VALID,OFF,,Extended,0,66.7%,60.8,68.2,0.172,0.039,,Lower-low still forming (price still breaking down),49,71.4%,71.4%,4.40%,1330.26%,BACKTEST_END,S1_FAST,4Y,64.3%,36.1%,OK,,79%,Late,71.4%,28.6%,6.28%,Late Risk
SCR.PA,SCOR SE,stock,Revolut,Euro,BLOCKED,IN_POS,30.92,3.36,3.23,-89.6%,Above Target,,23,23,0.78%,ON,VALID,OPEN,,Upper Quartile,1,83.3%,60.4,59.5,0.077,0.017,,Lower-low still forming (price still breaking down),50,68.0%,85.7%,3.60%,1287.13%,BACKTEST_END,S4_WIDEATR,4Y,49.4%,26.2%,OK,,231%,Late,68.6%,13.7%,8.14%,Exhausted
