Ticker,Name,Type,Platform,Currency,Status,Backtest State,Price,Target Price,Prudent Target,Prudent Upside %,Target Status,Priority,Priority Score,Opportunity Score,1D %,Golden,Silver,Silver Window,Breakout Level,Entry Zone,Zone Edge,Zone Win Rate %,Weekly RSI,Daily RSI,Weekly MACD Slope,Daily MACD Slope,Drawdown Overshoot,Blocker,Trades,Win Rate %,Win Rate last 3 Years,Median Return %,Compounded Return %,Latest Exit Reason,Strategy Used,Decision Window,2Y Strategy Return %,2Y Annualised %,Recent Strategy Health,Broken,Cycle Age %,Cycle Stage,Cycle Win Rate 3Y,Cycle Confidence %,Cycle Median Return 3Y,Cycle Edge
AMD,AMD,stock,Revolut,USD,BUY,IN_POS,231.82,225.27,216.26,-6.7%,Above Target,,11,11,4.64%,ON,VALID,OFF,,Extended,2,77.8%,56.3,64.7,1.301,1.525,,,48,70.8%,83.3%,10.38%,589550.91%,BACKTEST_END,S8_DI_GUARD_BUF,2Y,211.3%,76.4%,OK,,96%,Late,86.7%,17.3%,15.17%,Late Risk
BRBY.L,Vistry Group,stock,Moneybase,GBP,BUY,IN_POS,11.39,5.81,5.58,-51.0%,Above Target,,16,16,6.47%,ON,VALID,OPEN,,Normal Range,1,72.4%,46.9,58.9,3.708,6.648,,,61,68.9%,50.0%,5.00%,3924.32%,BACKTEST_END,S8_DI_GUARD_BUF,2Y,87.5%,36.9%,OK,,36%,Mid,40.0%,34.0%,-1.39%,Late Risk
HNR1.DE,Hannover Rueckversicherung SE,stock,Revolut,Euro,BUY,IN_POS,272.00,332.48,319.18,17.3%,Moderate,,24,24,0.82%,ON,VALID,OPEN,,Extended,2,87.5%,58.9,65.0,1.281,0.454,,,62,83.9%,100.0%,3.89%,3116.74%,BACKTEST_END,S11_VOLATILE_FAST,2Y,59.8%,26.4%,OK,,111%,Late,100.0%,20.0%,5.25%,Exhausted
IHG.L,3I Group,stock,Moneybase,GBP,BUY,ARMED,1.40,31.74,30.47,2074.9%,Attractive,⭐⭐,62,62,7.15%,ON,VALID,OPEN,136.65,Normal Range,1,79.3%,51.5,60.9,0.144,0.757,,,61,73.8%,69.2%,2.80%,3876.21%,TRAILING_STOP,S8_DI_GUARD_BUF,2Y,54.3%,24.2%,OK,,29%,Mid,67.7%,67.7%,1.80%,Mid OK
IQQY.DE,iShares Core MSCI Europe UCITS ETF EUR,etf,Revolut,Euro,BUY,BUY,36.74,,,,No Target,⭐⭐⭐,9,9,,,BUY,,,ETF Pullback,,71.9%,,47.5,,0.113,1.12x [mild],,63,71.9%,71.9%,11.90%,10.11%,"drawdown_macd_turn, rsi14=47.51, rsi_sup=56.40, dd20=0.023, dd_th=0.021, macd_improving, buy_window_open",,,,,,,,,,,,
MEL.MC,Melia Hotels,stock,Revolut,Euro,BUY,IN_POS,10.06,13.47,12.93,28.5%,Attractive,,16,16,1.72%,ON,VALID,OFF,,Extended,1,75.0%,77.6,74.9,0.102,0.011,,,41,68.3%,80.0%,2.92%,2646.80%,BACKTEST_END,S4_WIDEATR,2Y,134.5%,53.1%,OK,,120%,Late,64.0%,12.8%,3.16%,Exhausted
NEXI.MI,Nexi,stock,Revolut,Euro,BUY,IN_POS,3.34,4.05,3.89,16.5%,Moderate,,27,27,1.58%,ON,VALID,OPEN,,Normal Range,0,54.5%,41.4,61.6,0.033,0.016,,,23,65.2%,66.7%,2.31%,151.54%,BACKTEST_END,S8_DI_GUARD_BUF,2Y,28.6%,13.4%,OK,,41%,Mid,46.7%,39.7%,-0.21%,Late Risk
PRY.MI,Prysmian,stock,Revolut,Euro,BUY,IN_POS,115.00,99.00,95.04,-17.4%,Above Target,⭐,47,47,9.79%,ON,VALID,OPEN,,Extended,1,75.0%,65.7,72.2,0.341,1.140,,,61,73.8%,76.9%,4.80%,11502.67%,BACKTEST_END,S8_DI_GUARD_BUF,2Y,262.7%,90.5%,OK,,36%,Mid,76.9%,65.4%,3.69%,Mid OK
PUIG.MC,Puig Brands,stock,Revolut,Euro,BUY,IN_POS,17.48,21.91,21.03,20.3%,Attractive,⭐⭐⭐,95,95,1.86%,ON,VALID,OFF,,Limited history,0,,63.9,61.8,0.058,0.001,,,2,100.0%,100.0%,10.07%,21.12%,BACKTEST_END,S0_BASE,2Y,,,,,17%,Fresh,100.0%,100.0%,10.07%,Early Edge
SCR.PA,SCOR SE,stock,Revolut,Euro,BUY,IN_POS,31.64,3.36,3.23,-89.8%,Above Target,,18,18,1.28%,ON,VALID,OPEN,,Extended,1,77.8%,60.4,66.0,0.077,0.056,,,60,76.7%,90.0%,3.43%,3473.82%,BACKTEST_END,S8_DI_GUARD_BUF,2Y,112.5%,45.8%,OK,,189%,Late,90.0%,18.0%,11.02%,Exhausted
