Investment,Code,Platform,Ccy,Start value (EUR),Buys (EUR),Sells (EUR),End value (EUR),Realised YTD (EUR),Unrealised YTD (EUR),Total return YTD (EUR),MWR % (YTD),MWR % (ann.)
Deutsche Telekom AG,DTE.DE,revolut,EUR,0.0,300.0,336.25,0.0,36.25,0.0,36.25,13.778340717859372,72.9527034592137
SCHOTT Pharma AG & Co. KGaA,1SXP.DE,revolut,EUR,0.0,507.28999999999996,521.5300000000001,0.0,14.240000000000123,0.0,14.240000000000123,13.349567669608863,70.20332675634579
"Repsol, S.A.",REP.MC,revolut,EUR,0.0,1000.0,1011.6,0.0,11.600000000000136,-1.1368683772161603e-13,11.600000000000023,9.435914315188532,46.62289049645037
ishares edge MSCI World Minimum Volatility ETF (Acc),IQQ0.DE,revolut,EUR,673.2510088820741,0.0,681.1899999999999,0.0,7.938991117925866,0.0,7.938991117925866,6.95222862534739,33.0108613551317
DB Physical Gold ETC (EUR) GoldETF,XAD5.MI,moneybase,EUR,352.95001220703125,0.0,0.0,376.7799987792969,0.0,23.829986572265625,23.829986572265625,6.75166050377225,31.95542428743412
Gold,XAU,revolut,EUR,2864.339835008483,0.0,0.0,3010.1230296748245,0.0,145.7831946663414,145.7831946663414,5.089591426431106,23.45349602517394
Intuit Inc.,INTU,moneybase,USD,637.6020974310007,0.0,637.8551318146916,0.0,0.25303438369087417,0.0,0.25303438369087417,3.4711452729623726,15.583457085742108
Embracer Group AB N,TH93.F,revolut,EUR,0.0,500.0,502.63,0.0,2.6300000000000523,-5.684341886080802e-14,2.6299999999999955,2.5382021597185833,11.224619778603275
Melia Hotels,MEL.MC,revolut,EUR,0.0,500.0,0.0,499.61039882907164,0.0,-0.38960117092835844,-0.38960117092835844,-2.2098021937803303,-9.048146886160218
Convatec Group plc,CTEC.L,moneybase,GBP,329.70587868375065,0.0,323.0097645031591,0.0,-6.6961141805915645,0.0,-6.6961141805915645,-2.805984345605761,-11.3783467406334
Vanguard S&P 500 UCITS ETF (Acc),VUAA.MI,revolut,EUR,5184.645233736629,681.19,0.0,5607.162188510021,0.0,-258.6730452266074,-258.6730452266074,-4.517632106508951,-17.81543827513631
Xtrackers MSCI Urope ETF (Acc),XMEU.MI,revolut,EUR,1480.7364829109863,2233.5,0.0,3563.741441401489,0.0,-150.4950415094977,-150.4950415094977,-4.655565545225437,-18.318143360191545
BNP Paribas SA,BNP.PA,revolut,EUR,677.8371256363592,0.0,675.9799999999999,0.0,-1.857125636359342,0.0,-1.857125636359342,-5.728016897858024,-22.14703255564666
Vanguard S&P 500 UCITS ETF (Acc),VUAA.MI,moneybase,EUR,336.0300064086914,1804.7,0.0,2037.559959411621,0.0,-103.17004699707013,-103.17004699707013,-6.647532067119178,-25.319304622983996
LKQ,LKQ,revolut,USD,0.0,418.61533322198096,404.7165729121593,0.0,-13.898760309821682,0.0,-13.898760309821682,-7.0023246581567005,-26.516523332849594
SCOR SE,SCR.PA,revolut,EUR,990.4007319108855,0.0,947.29,0.0,-43.110731910885534,0.0,-43.110731910885534,-15.96792429474977,-52.21067340257992
"Roper Technologies, Inc.",ROP,revolut,USD,0.0,434.69777122539244,425.1408267614178,0.0,-9.556944463974617,0.0,-9.556944463974617,-17.40182841162019,-55.57708291448469
Booking,BKNG,revolut,USD,2051.783917899948,425.4232961796988,2400.133914765506,0.0,-77.07329931414108,0.0,-77.07329931414108,-18.06487048432699,-57.070958203925585
UnitedHealth Group Incorporated,UNH,revolut,USD,0.0,428.2569593147752,412.6706607019958,0.0,-15.586298612779387,0.0,-15.586298612779387,-23.332610369555027,-67.62079033608109
Intertek Group,ITRKL.XC,moneybase,GBP,0.0,427.77318686764585,362.1596783457783,0.0,-65.61350852186757,0.0,-65.61350852186757,-30.092132628624523,-78.1153479420824
Intuit Inc.,INTU,revolut,USD,0.0,434.69777122539244,0.0,400.24407131408367,0.0,-34.453699911308775,-34.453699911308775,-47.56510431988049,-93.54320721200912
Fresenius Medical Care AG,FME.DE,revolut,EUR,0.0,500.0,477.87,0.0,-22.129999999999995,0.0,-22.129999999999995,-62.216264098887265,-98.39304638192716
Bouygues SA,EN.PA,revolut,EUR,0.0,502.0,478.89,0.0,-23.110000000000014,0.0,-23.110000000000014,-63.697285415333546,-98.64387515135975
DoubleVerify,DV,revolut,USD,0.0,881.67194092827,763.4946191000763,0.0,-118.17732182819361,-1.1368683772161603e-13,-118.17732182819373,-67.53947699332281,-99.15646737111545
Zalando SE,ZAL.DE,revolut,EUR,0.0,500.0,435.70000000000005,0.0,-64.29999999999995,0.0,-64.29999999999995,-69.38946090871146,-99.34243183510335
XYZ,XYZ,revolut,USD,124.40759890319215,504.5622362869198,511.54986865519874,0.0,-117.41996653491327,0.0,-117.41996653491327,-69.78127297150701,-99.37741972909888
Bawag,0B2.F,revolut,EUR,0.0,1002.5,967.58,0.0,-34.92000000000007,1.1368683772161603e-13,-34.91999999999996,-78.22753668492834,-99.84513383769307
Evonik,EVK.DE,revolut,EUR,0.0,501.25,0.0,551.342291957898,0.0,50.092291957898055,50.092291957898055,,
Fitell,FTEL,moneybase,USD,0.0,255.95085743537243,182.83723331039226,0.0,-73.11362412498016,0.0,-73.11362412498016,,
Paycom Software,PAYC,revolut,USD,0.0,879.0172292545711,770.7282445298147,0.0,-108.28898472475657,1.1368683772161603e-13,-108.28898472475646,,
TOTAL (priced only),,,,15703.689929619031,15623.096581940019,14230.806515400189,16046.563379878306,-721.9406546616474,-327.4759616189074,-1049.4166162805548,-6.246599574419354,-23.948508236962045
