Ticker,Name,Type,Platform,Currency,Status,Backtest State,Price,Target Price,Prudent Target,Prudent Upside %,Target Status,Priority,Priority Score,Opportunity Score,1D %,Golden,Silver,Silver Window,Breakout Level,Entry Zone,Zone Edge,Zone Win Rate %,Weekly RSI,Daily RSI,Weekly MACD Slope,Daily MACD Slope,Blocker,Trades,Win Rate %,Win Rate last 3 Years,Median Return %,Compounded Return %,Latest Exit Reason,Cycle Age %,Cycle Stage,Cycle Win Rate 3Y,Cycle Confidence %,Cycle Median Return 3Y,Cycle Edge
AKE.PA,Arkema,stock,Revolut,Euro,BUY,IN_POS,58.20,65.36,62.75,7.8%,Near Target,⭐⭐,76,76,4.49%,ON,VALID,OPEN,,Normal Range,0,59.1%,52.8,56.9,0.312,0.368,,44,61.4%,70.0%,2.02%,1639.95%,TRAILING_STOP,10%,Fresh,75.0%,75.0%,6.89%,Early Edge
AKE.PA,AKE,stock,Revolut,Euro,BUY,IN_POS,58.20,65.34,62.73,7.8%,Near Target,⭐⭐,76,76,4.49%,ON,VALID,OPEN,,Normal Range,0,59.1%,52.8,56.9,0.312,0.368,,44,61.4%,70.0%,2.02%,1639.95%,TRAILING_STOP,10%,Fresh,75.0%,75.0%,6.89%,Early Edge
BPCR.L,BioPharma Credit,stock,Moneybase,GBP,BUY,IN_POS,0.94,0.98,0.94,0.3%,Near Target,,17,17,-0.42%,ON,VALID,OFF,,Lower Quartile,-2,20.0%,56.6,51.4,-0.000,0.000,,17,52.9%,63.6%,0.47%,18.27%,BACKTEST_END,96%,Late,63.6%,12.7%,0.64%,Late Risk
CA.PA,CA,stock,Revolut,Euro,BLOCKED,IN_POS,15.34,20.28,19.47,27.0%,Attractive,,44,44,-1.38%,ON,VALID,OFF,,Lower Quartile,1,75.0%,60.3,50.2,-0.011,-0.011,Lower-low still forming (price still breaking down),61,75.4%,93.3%,2.46%,1674.85%,BACKTEST_END,74%,Mature,74.7%,29.9%,2.70%,Mid OK
EVK.DE,Evonik,stock,Revolut,Euro,IN_POS,IN_POS,16.43,17.13,16.44,0.1%,Near Target,⭐,52,52,5.39%,ON,VALID,OFF,,Extended,0,50.0%,60.2,71.1,0.203,0.131,,46,63.0%,69.2%,2.52%,892.61%,BACKTEST_END,29%,Mid,69.2%,69.2%,5.11%,Mid OK
MEL.MC,Melia Hotels,stock,Revolut,Euro,IN_POS,IN_POS,9.45,11.15,10.70,13.3%,Moderate,,24,24,-1.56%,ON,VALID,OFF,,Extended,2,87.5%,74.0,68.2,0.084,0.002,,45,68.9%,81.8%,4.32%,2995.76%,BACKTEST_END,112%,Late,81.8%,16.4%,6.95%,Exhausted
VUAA.MI,Vanguard S&P 500 UCITS ETF USD Accumulation,etf,Revolut,Euro,IN_POS,WAIT,107.24,,,,No Target,⭐⭐,5,5,,,NO,,,ETF Pullback,,77.8%,,29.2,,-0.412,"drawdown_macd_turn, rsi14=29.16, rsi_sup=59.03, dd20=0.056, dd_th=0.020",22,77.8%,77.8%,13.82%,16.59%,"drawdown_macd_turn, rsi14=29.16, rsi_sup=59.03, dd20=0.056, dd_th=0.020",,,,,,
1T4.F,Torm,stock,Revolut,Euro,WATCH,IN_POS,23.50,27.95,26.83,14.2%,Moderate,⭐⭐,73,73,-2.08%,ON,NO,OFF,,Normal Range,1,69.6%,63.2,53.3,0.056,0.001,Lower-low still forming (price still breaking down),47,70.2%,60.0%,7.93%,41022517.64%,BACKTEST_END,24%,Fresh,66.7%,66.7%,14.79%,Mid OK
GNN.F,GN Store Nord,stock,Revolut,Euro,WATCH,WATCH,12.57,16.28,15.63,24.3%,Attractive,⭐⭐⭐,87,87,0.08%,ON,NO,OFF,,Lower Quartile,1,75.0%,43.9,48.5,0.005,-0.001,,47,74.5%,69.2%,5.21%,7979.70%,HARD_STOP_FROM_ENTRY,12%,Fresh,77.8%,77.8%,5.83%,Early Edge
IQQY.DE,iShares Core MSCI Europe UCITS ETF EUR,etf,Revolut,Euro,WATCH,WAIT,35.78,,,,No Target,⭐,4,4,,,NO,,,ETF Pullback,,76.4%,,36.0,,-0.121,"drawdown_macd_turn, rsi14=36.05, rsi_sup=56.65, dd20=0.090, dd_th=0.020, macd_improving",60,76.4%,76.4%,12.74%,11.05%,"drawdown_macd_turn, rsi14=36.05, rsi_sup=56.65, dd20=0.090, dd_th=0.020, macd_improving",,,,,,
REP.MC,Repsol,stock,Revolut,Euro,WATCH,IN_POS,24.07,28.94,27.78,15.4%,Moderate,,27,27,-0.41%,ON,NO,OFF,,Extended,0,50.0%,84.1,68.8,0.242,-0.040,,48,58.3%,72.7%,3.19%,1296.71%,BACKTEST_END,212%,Late,72.7%,14.5%,13.55%,Exhausted
ROP,Roper Technologies,stock,Revolut,USD,WATCH,IN_POS,344.42,460.58,442.16,28.4%,Attractive,,19,19,-1.89%,ON,NO,OFF,,Lower Quartile,2,72.7%,34.3,41.6,0.901,-0.333,,42,66.7%,44.4%,2.52%,921.12%,BACKTEST_END,57%,Mature,44.4%,28.9%,-1.18%,Late Risk
SCR.PA,SCOR SE,stock,Revolut,Euro,WATCH,IN_POS,30.22,35.14,33.73,11.6%,Moderate,,26,26,-0.85%,ON,NO,OPEN,,Lower Quartile,0,64.3%,57.5,52.4,0.036,-0.036,,53,67.9%,85.7%,3.20%,1960.89%,BACKTEST_END,245%,Late,68.6%,13.7%,6.68%,Exhausted
XMEU.DE,Xtrackers MSCI Europe UCITS ETF 1C,etf,Revolut,Euro,WATCH,WAIT,104.54,,,,No Target,⭐⭐,5,5,,,NO,,,ETF Pullback,,83.0%,,35.7,,-0.383,"drawdown_macd_turn, rsi14=35.66, rsi_sup=56.88, dd20=0.089, dd_th=0.022, macd_improving",58,83.0%,83.0%,15.59%,14.39%,"drawdown_macd_turn, rsi14=35.66, rsi_sup=56.88, dd20=0.089, dd_th=0.022, macd_improving",,,,,,
0B2.F,Bawag,stock,Revolut,Euro,WAIT,WAIT,126.60,102.45,98.35,-22.3%,Above Target,,27,27,-1.48%,OFF,NO,OFF,,Lower Quartile,2,80.0%,54.2,48.1,-0.383,0.040,Lower-low still forming (price still breaking down),19,73.7%,75.0%,6.09%,498.21%,TRAILING_STOP,295%,Late,75.0%,15.0%,11.98%,Exhausted
3P7.DE,Pandora,stock,Revolut,Euro,WAIT,WAIT,61.76,94.75,90.96,47.3%,Attractive,,25,25,-0.80%,OFF,NO,OFF,,Limited history,0,,26.4,42.9,0.100,0.128,,0,,,,,Insufficient history,,Limited history,,,,Limited history
8ZI.DU,Scandinavian Tobacco,stock,Revolut,Euro,WAIT,WAIT,8.80,13.40,12.86,46.2%,Attractive,,16,16,-2.55%,OFF,NO,OFF,,Lower Quartile,1,75.0%,26.1,25.6,-0.177,0.034,Lower-low still forming (price still breaking down),13,69.2%,69.2%,2.17%,51.53%,HARD_STOP_FROM_ENTRY,234%,Late,69.2%,13.8%,2.17%,Exhausted
AC.PA,AC,stock,Revolut,Euro,WAIT,WAIT,40.43,50.04,48.04,18.8%,Moderate,,18,18,-0.93%,OFF,NO,OFF,,Lower Quartile,2,71.4%,37.3,37.4,-0.339,0.045,Lower-low still forming (price still breaking down),53,67.9%,88.9%,4.97%,2840.07%,TRAILING_STOP,379%,Late,88.9%,17.8%,13.59%,Exhausted
ADBE,Adobe,stock,Revolut,USD,WAIT,WAIT,234.84,389.47,373.89,59.2%,Attractive,⭐,46,46,-2.51%,OFF,NO,OFF,,Lower Quartile,2,90.0%,28.0,31.0,-1.258,-0.456,Lower-low still forming (price still breaking down),40,80.0%,81.8%,5.06%,1836.03%,TRAILING_STOP,59%,Mature,89.1%,57.9%,3.05%,Mid OK
ADSK,Autodesk,stock,Revolut,USD,WAIT,WAIT,229.84,315.66,303.03,31.8%,Attractive,⭐,50,50,-4.17%,OFF,NO,OFF,,Lower Quartile,1,66.7%,36.5,35.6,-0.942,-1.075,Lower-low still forming (price still breaking down),57,68.4%,75.0%,6.11%,5226.18%,TRAILING_STOP,59%,Mature,75.0%,48.8%,3.34%,Mid OK
